long,lat,h [km]
-131,45,0.209999993
-131,46,0.159999996
-131,47,0.109999999
-131,48,0.119999997
-130,45,0.109999999
-130,46,0.100000001
-130,47,0.109999999
-130,48,0.100000001
-129,45,0.119999997
-129,46,0.129999995
-129,47,0.100000001
-129,48,0.090000004
-128,45,0.239999995
-128,46,0.270000011
-128,47,0.300000012
-128,48,0.300000012
-127,45,0.5
-127,46,0.639999986
-127,47,0.790000021
-127,48,0.939999998
-126,45,0.810000002
-126,46,1.299999952
-126,47,1.539999962
-126,48,1.590000033
