lat,long,age
49.05,-123.91,8.9942894
49.05,-124,8.9942894
49.59,-119.68,9.2849312
51.73,-124.62,7.2214351
51.73,-124.63,7.2214351
51.45,-123.62,7.2806315
51.45,-123.62,7.2806315
50.62,-127.5,4.6360407
49.77,-125.3,7.2806315
54.02,-130.58,5.7069907
54.02,-130.58,5.7069907
54.02,-130.58,5.7069907
54.02,-130.58,5.7069907
54.02,-130.58,5.7069907
49.15,-124.65,8.1750021
49.15,-124.67,7.9011574
49.15,-124.67,7.9011574
49.33,-121.97,9.2849312
49.33,-121.97,9.2849312
49.33,-121.97,9.2849312
49.33,-121.97,9.2849312
49.33,-121.97,9.2849312
49.33,-121.97,9.2849312
49.33,-121.95,9.2849312
49.33,-121.97,9.2849312
49.3,-121.93,9.2849312
49.75,-124.53,7.3612161
49.7,-124.52,7.3612161
49.75,-124.53,7.3612161
49.75,-124.53,7.3612161
49.75,-124.53,7.3612161
49.75,-124.53,7.3612161
49.75,-124.53,7.3612161
49.75,-124.53,7.3612161
49.7,-124.53,7.3612161
49.7,-124.53,7.3612161
49.7,-124.53,7.3612161
49.7,-124.53,7.3612161
50.02,-126.78,6.2185445
50,-126.8,6.2185445
50,-126.8,6.2185445
50,-126.8,6.2185445
50.02,-126.78,6.2185445
47.51,-121.35,9.7773581
47.51,-121.35,9.7773581
47.68,-121.65,9.7773581
47.68,-121.65,9.7773581
47.49,-121.4,9.7773581
42.2,-121.83,8.7200031
48.46,-122.63,9.2849312
48.72,-119.59,9.57864
46.35,-122.11,9.543684
46.36,-122.07,9.543684
49,-119.49,9.57864
48.61,-120.38,9.57864
48.61,-120.39,9.57864
46.85,-124.1,9.7773581
47.24,-124.19,9.8133631
42.16,-120.34,8.7200031
42.19,-120.33,8.7200031
42.19,-120.34,8.7200031
42.2,-120.35,8.7200031
42.22,-120.35,8.7200031
42.22,-120.34,8.7200031
42.17,-120.34,8.7200031
42.22,-120.36,8.7200031
42.22,-120.36,8.7200031
42.19,-120.34,8.7200031
42.19,-120.35,8.7200031
42.18,-120.35,8.7200031
42.18,-120.34,8.7200031
42.22,-120.36,8.7200031
42.21,-120.36,8.7200031
44.27,-120.81,9.8749847
42.04,-120.3,18.00329
42.21,-120.36,8.7200031
42.24,-120.36,8.7200031
42.23,-120.37,8.7200031
42.02,-120.3,18.00329
42.19,-120.38,8.7200031
45.43,-121.46,9.5483627
45.61,-122,9.5370016
45.34,-121.36,9.5414743
43.96,-123.11,9.5827484
45.12,-120.85,9.68153
44.6,-122.06,9.8749847
44.6,-122.06,9.8749847
45.44,-121.16,9.5483627
45.54,-122.58,9.5407829
45.66,-121.33,9.5560369
45.25,-121.12,9.5008411
42.41,-120.48,8.7200031
45.69,-121.35,9.5560369
45.18,-121.07,9.5008411
45.84,-119.67,9.544672
45.32,-122.87,9.5414743
45.63,-121.36,9.5370016
44.78,-121.03,9.8749847
45.43,-120.93,9.5483627
42.06,-122.65,8.7200031
45.9,-119.22,9.5405912
45.6,-121.14,9.5370016
45.36,-121.28,9.5483627
45.38,-122.59,9.5483627
45.6,-119.6,9.5370016
45.65,-121.47,9.5370016
45.7,-123.13,9.5560369
42.19,-122.64,8.7200031
45.7,-121.35,9.5560369
42.48,-123.4,8.1746902
45.61,-121.23,9.5370016
45.91,-119.44,9.5405912
45.18,-121.2,9.5008411
42.32,-122.81,8.7200031
45.6,-121.64,9.5370016
45.53,-122.43,9.5407829
42.53,-122.64,8.7200031
42.8,-123.85,8.0320463
45.38,-122.02,9.5483627
45.72,-119.02,9.5560369
45.68,-121.31,9.5560369
42.49,-122.95,8.7200031
42.5,-122.98,8.7200031
45.39,-122.36,9.5483627
42.86,-123.38,8.5052891
44.87,-122.71,9.8163719
45.77,-119.12,9.544672
45.43,-121.29,9.5483627
45.54,-122.76,9.5407829
45.35,-121.13,9.5483627
45.35,-121.13,9.5483627
45.32,-121.1,9.5414743
45.69,-121.38,9.5560369
42.39,-122.98,8.7200031
45.36,-120.15,9.5483627
44.05,-122.88,9.8100004
43.8,-122.42,9.5827484
44.78,-121.98,9.8749847
44.78,-121.97,9.8749847
44.78,-121.97,9.8749847
44.78,-121.97,9.8749847
43.92,-120.82,9.8749847
43.69,-120.48,9.5827484
43.69,-120.48,9.5827484
43.69,-120.48,9.5827484
43.63,-120.46,9.5827484
43.62,-120.47,9.5827484
43.63,-120.46,9.5827484
43.63,-120.46,9.5827484
43.63,-120.46,9.5827484
43.78,-120.62,9.5827484
43.78,-120.62,9.5827484
43.62,-120.47,9.5827484
43.62,-120.47,9.5827484
43.62,-120.47,9.5827484
43.62,-120.47,9.5827484
43.62,-120.47,9.5827484
43.73,-121.36,9.5827484
43.73,-121.36,9.5827484
43.75,-120.94,9.5827484
43.75,-120.94,9.5827484
43.81,-120.99,9.5827484
44.17,-122.29,9.8749847
44.45,-122.8,9.8749847
44.61,-122.77,9.8749847
44.54,-123.29,9.8749847
44.83,-122.25,9.8749847
44.95,-122.17,9.831625
44.95,-122.17,9.831625
45.04,-121,9.831625
43.8,-122.42,9.5827484
43.8,-122.42,9.5827484
44.86,-122.88,9.8163719
44.06,-122.79,9.8100004
44.15,-122.25,9.8749847
44.15,-122.25,9.8749847
44.8,-124.06,9.8749847
44.8,-124.07,9.8749847
44.04,-122.84,9.8100004
43.93,-122.91,9.5827484
44.8,-122.41,9.8749847
44.81,-122.41,9.8749847
44.39,-121.99,9.8749847
44.39,-121.99,9.8749847
44.54,-121.96,9.8749847
43.76,-122.43,9.5827484
44.22,-120.99,9.8749847
44.73,-122.18,9.8749847
44.77,-122.56,9.8749847
44.89,-122.71,9.8163719
44.89,-122.71,9.8163719
44.61,-123.3,9.8749847
44.59,-120.92,9.8749847
44.04,-122.93,9.8100004
43.95,-122.9,9.5827484
43.91,-121.36,9.8749847
44.49,-122.85,9.8749847
44.24,-120.97,9.8749847
44.24,-120.97,9.8749847
44.19,-121.05,9.8749847
45.08,-120.96,9.68153
44.49,-122.86,9.8749847
45.01,-122.66,9.831625
45.01,-122.66,9.831625
44.81,-120.73,9.8749847
44.43,-122.72,9.8749847
44.4,-122.65,9.8749847
44.33,-122.99,9.8749847
45.01,-123.51,9.831625
43.8,-123.88,9.5827484
44.58,-122.84,9.8749847
44.98,-122.65,9.831625
44.19,-123.83,9.8100004
44.71,-123.03,9.8749847
44.71,-123.03,9.8749847
43.67,-122.45,9.5827484
43.96,-122.84,9.5827484
45.03,-121.96,9.831625
44.78,-121.95,9.8749847
44.78,-121.95,9.8749847
44.78,-122.04,9.8749847
44.83,-121.88,9.8749847
45.02,-122.01,9.831625
45,-122.06,9.831625
44.2,-122.05,9.8749847
44.15,-122.08,9.8749847
44.72,-121.91,9.8749847
43.95,-122.03,9.5827484
43.72,-122.33,9.5827484
43.64,-122.19,9.5827484
44.07,-122.02,9.8749847
44.63,-121.94,9.8749847
44.02,-122.16,9.8749847
44.02,-122.16,9.8749847
44.45,-122.83,9.8749847
44.62,-122.72,9.8749847
