49.62	-129.98	0.81696123	366	2.02973175
44.68	-125.29	9.1196241	79	-66.54668427
44.66	-125.27	9.1196241	81	-66.54668427
44.66	-125.27	9.1196241	93	-66.54668427
44.66	-125.26	9.1196241	77	-66.54668427
44.66	-125.25	9.1196241	81	-66.54668427
44.66	-125.36	8.9653473	70	-77.86420441
44.66	-125.35	9.1196241	30	-66.54668427
44.66	-125.35	9.1196241	32	-66.54668427
44.66	-125.35	9.1196241	33	-66.54668427
44.65	-125.35	9.1559649	42	-66.54668427
45	-125.3	9.0883245	60	-38.20376205
45.01	-125.3	9.0883245	60	-38.20376205
45	-125.31	9.0883245	102	-38.20376205
45	-125.32	9.0883245	84	-38.20376205
44.99	-125.32	9.0883245	85	-38.20376205
44.99	-125.33	9.0883245	88	-38.20376205
44.94	-125.37	8.987608	72	-63.85134125
44.94	-125.36	8.987608	124	-63.85134125
44.93	-125.35	9.1318445	72	-38.20376205
47.06	-125.89	7.6291208	100	-4.992900848
47.06	-125.89	7.6291208	99	-4.992900848
47.07	-125.9	7.6291208	93	-4.992900848
47.07	-125.9	7.6291208	88	-4.992900848
47.07	-125.91	7.6291208	88	-4.992900848
47.08	-125.9	7.6291208	89	-4.992900848
47.07	-125.91	7.6291208	83	-4.992900848
47.08	-125.91	7.6291208	75	-4.992900848
47.08	-125.92	7.6291208	83	-4.992900848
47.08	-125.94	7.6291208	109	-4.992900848
47.08	-125.94	7.6291208	67	-4.992900848
46.97	-125.93	7.6286254	104	-14.90505123
46.98	-125.94	7.6286254	90	-14.90505123
46.97	-125.99	7.3567901	100	-35.51718903
46.97	-125.98	7.3567901	111	-35.51718903
46.97	-125.98	7.3567901	96	-35.51718903
46.98	-125.97	7.3567901	89	-35.51718903
46.98	-125.96	7.3567901	75	-35.51718903
46.98	-125.95	7.3567901	81	-35.51718903
46.98	-125.94	7.6286254	78	-14.90505123
46.98	-125.94	7.6286254	82	-14.90505123
46.99	-125.97	7.3567901	87	-35.51718903
47	-125.96	7.3567901	89	-35.51718903
46.99	-125.96	7.3567901	82	-35.51718903
46.99	-125.94	7.6286254	83	-14.90505123
46.99	-125.95	7.3567901	97	-35.51718903
50.55	-131.62	4.6901741	91.4	-6.861600876
48.75	-127.75	2.9062791	200	-25.61454201
47.45	-127.27	4.3656092	57.8	-2.360379696
46.3	-128	3.1420634	50.7	-7.456796646
47.9	-127.2	4.359262	161	-11.43339062
47.15	-130.12	2.7302463	189	-3.51950264
46.73	-131.58	6.8137112	22.8	-27.39011002
41.07	-132.37	10.360166	40.2	-4.296496391
47.9	-127.65	3.1907601	304	3.032176971
47.25	-131.03	5.1738672	110	-12.57196617
44.65	-125.14	9.5422888	94	-24.02614021
44.65	-125.07	9.5422888	41	-16.33102798
44.65	-125.06	9.5422888	42	-16.33102798
44.65	-125.02	9.8048306	79	-16.33102798
44.65	-124.97	9.8048306	77	-22.01154518
47.23	-126.15	6.8040028	26	-25.05021858
47.23	-126.15	6.8040028	27	-25.05021858
47.24	-126.14	7.0875106	21	-25.05021858
47.29	-126.08	7.1277666	104	-14.81813812
47.29	-126.08	7.1277666	99	-14.81813812
47.3	-126.09	7.1277666	101	-14.81813812
47.3	-126.09	7.1277666	108	-14.81813812
47.3	-126.09	7.1277666	77	-14.81813812
47.29	-126.11	7.1277666	93	-14.81813812
47.28	-126.12	7.1277666	96	-14.81813812
47.28	-126.12	7.1277666	99	-14.81813812
47.28	-126.13	7.1277666	104	-14.81813812
