lat	long	q	age	q(t)	sqrt age	d(t)	q(t)
47.29	-126.11	93	7.1277666	2.2227	2.669787744	3747.359155	4.23254621
47.28	-126.12	96	7.1277666	2.2944	2.669787744	3747.359155	4.23254621
47.28	-126.12	99	7.1277666	2.3661	2.669787744	3747.359155	4.23254621
47.28	-126.13	104	7.1277666	2.4856	2.669787744	3747.359155	4.23254621
47.27	-126.14	159	7.1277666	3.8001	2.669787744	3747.359155	4.23254621
47.27	-126.14	142	7.1277666	3.3938	2.669787744	3747.359155	4.23254621
47.27	-126.15	137	6.8401093	3.2743	2.615360262	3697.019128	4.320628467
47.27	-126.15	141	6.8401093	3.3699	2.615360262	3697.019128	4.320628467
47.27	-126.15	156	6.8401093	3.7284	2.615360262	3697.019128	4.320628467
47.25	-126.17	138	6.8040028	3.2982	2.608448351	3690.70049	4.332077342
47.44	-126.38	106	6.4628758	2.5334	2.542218677	3631.003265	4.444936269
47.44	-126.38	108	6.4628758	2.5812	2.542218677	3631.003265	4.444936269
47.44	-126.38	112	6.4628758	2.6768	2.542218677	3631.003265	4.444936269
47.45	-126.36	109	6.5422029	2.6051	2.557773035	3644.885508	4.417905672
47.45	-126.36	118	6.5422029	2.8202	2.557773035	3644.885508	4.417905672
47.46	-126.33	102	6.8071642	2.4378	2.609054273	3691.253735	4.331071268
47.46	-126.29	124	6.8071642	2.9636	2.609054273	3691.253735	4.331071268
47.46	-126.29	108	6.8071642	2.5812	2.609054273	3691.253735	4.331071268
47.46	-126.26	114	6.8071642	2.7246	2.609054273	3691.253735	4.331071268
47.46	-126.22	122	7.0861001	2.9158	2.661972971	3740.067518	4.244971727
47.46	-126.22	117	7.0861001	2.7963	2.661972971	3740.067518	4.244971727
47.46	-126.22	89	7.0861001	2.1271	2.661972971	3740.067518	4.244971727
47.46	-126.19	118	7.0861001	2.8202	2.661972971	3740.067518	4.244971727
47.46	-126.18	139	7.0861001	3.3221	2.661972971	3740.067518	4.244971727
47.46	-126.16	57	7.0861001	1.3623	2.661972971	3740.067518	4.244971727
44.95	-125.2	71	9.2965679	1.6969	3.04902737	4126.899383	3.70609989
44.95	-125.22	61	9.2965679	1.4579	3.04902737	4126.899383	3.70609989
44.95	-125.23	55	9.2965679	1.3145	3.04902737	4126.899383	3.70609989
44.95	-125.25	28	9.0883245	0.6692	3.014684809	4090.456788	3.748318884
44.95	-125.41	89	8.9141588	2.1271	2.985658855	4059.97779	3.78475926
44.95	-125.37	95	8.9141588	2.2705	2.985658855	4059.97779	3.78475926
44.95	-125.37	99	8.9141588	2.3661	2.985658855	4059.97779	3.78475926
