lat,lon,age,ihfc q,ps q
40.74,-127.55,0.22720698,39.5784,23.70650922
40.74,-127.57,0.22720698,13.7664,23.70650922
40.75,-127.4,0.14659698,5.736,29.51317491
40.75,-127.42,0.14659698,7.5524,29.51317491
40.75,-127.43,0.14659698,8.8669,29.51317491
40.74,-127.58,0.22720698,19.8848,23.70650922
40.75,-127.6,0.22720698,21.6773,23.70650922
40.75,-127.62,0.22720698,8.1499,23.70650922
40.76,-127.66,0.53983307,7.8631,15.37972962
40.75,-127.66,0.52487373,9.2254,15.59735745
40.76,-127.67,0.53983307,7.2178,15.37972962
40.76,-127.69,0.53983307,7.4807,15.37972962
40.98,-127.54,0.021391379,8.4128,77.26077359
41,-127.54,0.021391379,7.2178,77.26077359
41,-127.53,0.021391379,11.2808,77.26077359
41,-127.52,0.021391379,4.5888,77.26077359
41.01,-127.51,0.021391379,37.9054,77.26077359
41.02,-127.47,0.021391379,11.0657,77.26077359
41,-127.47,0.021391379,5.6165,77.26077359
41.01,-127.47,0.021391379,6.5486,77.26077359
41.01,-127.47,0.021391379,43.1156,77.26077359
41.02,-127.47,0.021391379,6.692,77.26077359
40.94,-127.51,0.047450688,4.2064,51.87488974
40.93,-127.52,0.047450688,7.1461,51.87488974
40.91,-127.52,0.047450688,5.2341,51.87488974
40.91,-127.49,0.047450688,12.2129,51.87488974
40.91,-127.48,0.047450688,5.0907,51.87488974
50.15,-123.38,8.4487114,1.3862,3.887614612
50.12,-123.45,8.4487114,1.6969,3.887614612
50.2,-123.53,8.1750021,1.5057,3.952159897
50.18,-123.52,8.1750021,1.3384,3.952159897
50.17,-123.52,8.1750021,0.9321,3.952159897
50.45,-123.12,8.4487114,1.2667,3.887614612
50.45,-123.17,8.1750021,1.3384,3.952159897
50.45,-123.2,8.1750021,1.6491,3.952159897
51.97,-121.17,8.9942894,1.5057,3.767862232
51.83,-121.15,8.9942894,1.5057,3.767862232
52,-120.95,8.9942894,1.3862,3.767862232
52,-120.82,8.9942894,1.4579,3.767862232
51.78,-120.37,8.9942894,2.7007,3.767862232
51.82,-120.47,8.9942894,2.39,3.767862232
51.73,-120.15,8.9942894,2.1988,3.767862232
51.75,-120.07,8.9942894,2.5573,3.767862232
51.15,-119.82,8.9942894,1.3384,3.767862232
51.15,-119.8,8.9942894,1.6013,3.767862232
51.15,-119.82,8.9942894,1.9837,3.767862232
53.37,-130.15,2.2681541,1.7925,7.503124706
53.35,-130.13,2.2681541,1.7925,7.503124706
53.35,-130.13,2.2681541,1.7925,7.503124706
53.36,-130.13,2.2681541,2.7963,7.503124706
53.37,-130.16,2.2681541,1.6969,7.503124706
53.37,-130.16,2.2681541,1.5296,7.503124706
53.37,-130.12,2.2681541,1.8164,7.503124706
53.37,-130.16,2.2681541,1.2189,7.503124706
53.37,-130.16,2.2681541,2.0793,7.503124706
53.37,-130.16,2.2681541,2.1032,7.503124706
53.37,-130.16,2.2681541,1.9359,7.503124706
51.38,-120.07,8.9942894,1.673,3.767862232
51.38,-120.07,8.9942894,1.7208,3.767862232
51.38,-120.07,8.9942894,1.6969,3.767862232
53.53,-132.22,9.16572,1.5774,3.732459899
53.53,-132.22,9.16572,1.0994,3.732459899
53.53,-132.22,9.16572,1.6491,3.732459899
53.53,-132.22,9.16572,1.4101,3.732459899
53.53,-132.22,9.16572,2.5573,3.732459899
53.53,-132.22,9.16572,1.6491,3.732459899
53.53,-132.22,9.16572,1.8164,3.732459899
53.53,-132.22,9.16572,1.1711,3.732459899
53.53,-132.22,9.16572,1.5774,3.732459899
52.14,-128.05,1.3816251,2.1749,9.613539969
52.15,-128.1,1.3816251,1.7686,9.613539969
54.74,-126.62,1.238132,1.6252,10.15535172
54.74,-126.62,1.238132,1.6491,10.15535172
54.74,-126.62,1.238132,1.7925,10.15535172
54.74,-126.62,1.238132,2.1749,10.15535172
54.74,-126.62,1.238132,1.7686,10.15535172
54.2,-126.26,4.2815824,1.434,5.461051727
54.18,-126.27,4.2815824,1.5774,5.461051727
54.17,-126.28,4.2815824,2.8441,5.461051727
52.3,-120.57,8.9942894,1.0994,3.767862232
52.3,-120.57,8.9942894,1.4579,3.767862232
54.23,-126.23,4.2815824,1.9837,5.461051727
54.23,-126.24,4.2815824,1.8881,5.461051727
52.72,-131.72,5.7069907,1.434,4.730149434
52.72,-131.71,5.7069907,1.1472,4.730149434
48.89,-123.87,8.9942894,0.478,3.767862232
48.89,-123.87,8.9942894,0.4541,3.767862232
48.89,-123.85,8.9942894,0.5975,3.767862232
48.88,-123.82,8.9942894,0.6931,3.767862232
52.92,-123.62,7.2214351,1.7686,4.205006653
52.92,-123.63,7.2214351,1.6969,4.205006653
52.9,-123.62,7.2214351,1.3384,4.205006653
49.05,-123.91,8.9942894,0.717,3.767862232
49.05,-124,8.9942894,0.478,3.767862232
49.59,-119.68,9.2849312,1.4579,3.70842157
51.73,-124.62,7.2214351,1.6013,4.205006653
51.73,-124.63,7.2214351,2.17729,4.205006653
51.45,-123.62,7.2806315,2.41868,4.187877005
51.45,-123.62,7.2806315,2.57403,4.187877005
50.62,-127.5,4.6360407,1.62281,5.24813289
49.77,-125.3,7.2806315,0.94166,4.187877005
54.02,-130.58,5.7069907,1.72558,4.730149434
54.02,-130.58,5.7069907,3.17392,4.730149434
54.02,-130.58,5.7069907,2.68636,4.730149434
54.02,-130.58,5.7069907,1.86659,4.730149434
54.02,-130.58,5.7069907,1.49136,4.730149434
49.15,-124.65,8.1750021,1.14481,3.952159897
49.15,-124.67,7.9011574,1.30016,4.020065107
49.15,-124.67,7.9011574,1.15437,4.020065107
49.33,-121.97,9.2849312,3.42726,3.70842157
49.33,-121.97,9.2849312,2.07213,3.70842157
49.33,-121.97,9.2849312,3.16436,3.70842157
49.33,-121.97,9.2849312,2.38283,3.70842157
49.33,-121.97,9.2849312,0.92732,3.70842157
49.33,-121.97,9.2849312,2.46887,3.70842157
49.33,-121.95,9.2849312,2.28245,3.70842157
49.33,-121.97,9.2849312,2.16534,3.70842157
49.3,-121.93,9.2849312,2.51189,3.70842157
49.75,-124.53,7.3612161,0.99185,4.164891191
49.7,-124.52,7.3612161,0.43259,4.164891191
49.75,-124.53,7.3612161,0.86518,4.164891191
49.75,-124.53,7.3612161,0.79348,4.164891191
49.75,-124.53,7.3612161,0.78392,4.164891191
49.75,-124.53,7.3612161,0.82933,4.164891191
49.75,-124.53,7.3612161,0.77914,4.164891191
49.75,-124.53,7.3612161,0.49473,4.164891191
49.7,-124.53,7.3612161,0.64052,4.164891191
49.7,-124.53,7.3612161,0.53775,4.164891191
49.7,-124.53,7.3612161,0.1912,4.164891191
49.7,-124.53,7.3612161,0.83411,4.164891191
50.02,-126.78,6.2185445,1.2667,4.531417424
50,-126.8,6.2185445,1.00619,4.531417424
50,-126.8,6.2185445,1.04204,4.531417424
50,-126.8,6.2185445,0.93688,4.531417424
50.02,-126.78,6.2185445,0.93927,4.531417424
47.51,-121.35,9.7773581,1.3623,3.613829699
47.51,-121.35,9.7773581,1.3623,3.613829699
47.68,-121.65,9.7773581,1.434,3.613829699
47.68,-121.65,9.7773581,1.434,3.613829699
47.49,-121.4,9.7773581,1.3384,3.613829699
42.2,-121.83,8.7200031,1.6013,3.826662177
48.46,-122.63,9.2849312,0.8843,3.70842157
48.72,-119.59,9.57864,1.7925,3.651123454
46.35,-122.11,9.543684,1.6491,3.657803894
46.36,-122.07,9.543684,1.6252,3.657803894
49,-119.49,9.57864,1.673,3.651123454
48.61,-120.38,9.57864,1.8164,3.651123454
48.61,-120.39,9.57864,1.7447,3.651123454
46.85,-124.1,9.7773581,0.9082,3.613829699
47.24,-124.19,9.8133631,0.8365,3.607194078
42.16,-120.34,8.7200031,17.7338,3.826662177
42.19,-120.33,8.7200031,4.302,3.826662177
42.19,-120.34,8.7200031,3.346,3.826662177
42.2,-120.35,8.7200031,2.3422,3.826662177
42.22,-120.35,8.7200031,68.3779,3.826662177
42.22,-120.34,8.7200031,7.3851,3.826662177
42.17,-120.34,8.7200031,2.629,3.826662177
42.22,-120.36,8.7200031,23.6849,3.826662177
42.22,-120.36,8.7200031,2.7963,3.826662177
42.19,-120.34,8.7200031,3.585,3.826662177
42.19,-120.35,8.7200031,2.9636,3.826662177
42.18,-120.35,8.7200031,2.9636,3.826662177
42.18,-120.34,8.7200031,4.5171,3.826662177
42.22,-120.36,8.7200031,68.8798,3.826662177
42.21,-120.36,8.7200031,3.7762,3.826662177
44.27,-120.81,9.8749847,1.5774,3.59592171
42.04,-120.3,18.00329,13.6469,2.663192167
42.21,-120.36,8.7200031,45.2905,3.826662177
42.24,-120.36,8.7200031,20.076,3.826662177
42.23,-120.37,8.7200031,12.6909,3.826662177
42.02,-120.3,18.00329,2.151,2.663192167
42.19,-120.38,8.7200031,1.8164,3.826662177
45.43,-121.46,9.5483627,1.1472,3.656907622
45.61,-122,9.5370016,1.6969,3.659085148
45.34,-121.36,9.5414743,1.4818,3.658227423
43.96,-123.11,9.5827484,1.195,3.6503407
45.12,-120.85,9.68153,1.4101,3.631670562
44.6,-122.06,9.8749847,1.8164,3.59592171
44.6,-122.06,9.8749847,2.629,3.59592171
45.44,-121.16,9.5483627,0.9799,3.656907622
45.54,-122.58,9.5407829,1.1233,3.658359973
45.66,-121.33,9.5560369,1.3145,3.655438945
45.25,-121.12,9.5008411,2.151,3.666041831
42.41,-120.48,8.7200031,1.3862,3.826662177
45.69,-121.35,9.5560369,0.7887,3.655438945
45.18,-121.07,9.5008411,2.2705,3.666041831
45.84,-119.67,9.544672,2.6768,3.657614574
45.32,-122.87,9.5414743,1.1233,3.658227423
45.63,-121.36,9.5370016,1.5535,3.659085148
44.78,-121.03,9.8749847,1.6491,3.59592171
45.43,-120.93,9.5483627,1.434,3.656907622
42.06,-122.65,8.7200031,1.2428,3.826662177
45.9,-119.22,9.5405912,0.9799,3.658396727
45.6,-121.14,9.5370016,1.0994,3.659085148
45.36,-121.28,9.5483627,2.2466,3.656907622
45.38,-122.59,9.5483627,0.7887,3.656907622
45.6,-119.6,9.5370016,1.3862,3.659085148
45.65,-121.47,9.5370016,0.9799,3.659085148
45.7,-123.13,9.5560369,0.9799,3.655438945
42.19,-122.64,8.7200031,0.7409,3.826662177
45.7,-121.35,9.5560369,1.8403,3.655438945
42.48,-123.4,8.1746902,0.7887,3.952235293
45.61,-121.23,9.5370016,1.6969,3.659085148
45.91,-119.44,9.5405912,2.39,3.658396727
45.18,-121.2,9.5008411,1.4818,3.666041831
42.32,-122.81,8.7200031,1.0994,3.826662177
45.6,-121.64,9.5370016,1.9837,3.659085148
45.53,-122.43,9.5407829,1.1472,3.658359973
42.53,-122.64,8.7200031,1.1711,3.826662177
42.8,-123.85,8.0320463,0.6931,3.987175406
45.38,-122.02,9.5483627,1.8403,3.656907622
45.72,-119.02,9.5560369,1.5774,3.655438945
45.68,-121.31,9.5560369,0.9799,3.655438945
42.49,-122.95,8.7200031,0.7887,3.826662177
42.5,-122.98,8.7200031,0.7887,3.826662177
45.39,-122.36,9.5483627,0.9799,3.656907622
42.86,-123.38,8.5052891,0.7887,3.874662713
44.87,-122.71,9.8163719,1.0277,3.606641218
45.77,-119.12,9.544672,1.6969,3.657614574
45.43,-121.29,9.5483627,1.5535,3.656907622
45.54,-122.76,9.5407829,0.8365,3.658359973
45.35,-121.13,9.5483627,1.2906,3.656907622
45.35,-121.13,9.5483627,1.2906,3.656907622
45.32,-121.1,9.5414743,0.9799,3.658227423
45.69,-121.38,9.5560369,1.1233,3.655438945
42.39,-122.98,8.7200031,0.9321,3.826662177
45.36,-120.15,9.5483627,1.2906,3.656907622
44.05,-122.88,9.8100004,0.7409,3.607812267
43.8,-122.42,9.5827484,0.956,3.6503407
44.78,-121.98,9.8749847,18.2357,3.59592171
44.78,-121.97,9.8749847,10.277,3.59592171
44.78,-121.97,9.8749847,33.2927,3.59592171
44.78,-121.97,9.8749847,9.6556,3.59592171
43.92,-120.82,9.8749847,1.7925,3.59592171
43.69,-120.48,9.5827484,1.7925,3.6503407
43.69,-120.48,9.5827484,1.9837,3.6503407
43.69,-120.48,9.5827484,2.2944,3.6503407
43.63,-120.46,9.5827484,1.8881,3.6503407
43.62,-120.47,9.5827484,1.8881,3.6503407
43.63,-120.46,9.5827484,1.5774,3.6503407
43.63,-120.46,9.5827484,2.2944,3.6503407
43.63,-120.46,9.5827484,1.7925,3.6503407
43.78,-120.62,9.5827484,1.8881,3.6503407
