49.62,-129.98,366.00
44.68,-125.29,79.00
44.66,-125.27,81.00
44.66,-125.27,93.00
44.66,-125.26,77.00
44.66,-125.25,81.00
44.66,-125.36,70.00
44.66,-125.35,30.00
44.66,-125.35,32.00
44.66,-125.35,33.00
44.65,-125.35,42.00
45.00,-125.30,60.00
45.01,-125.30,60.00
45.00,-125.31,102.00
45.00,-125.32,84.00
44.99,-125.32,85.00
44.99,-125.33,88.00
44.94,-125.37,72.00
44.94,-125.36,124.00
44.93,-125.35,72.00
47.06,-125.89,100.00
47.06,-125.89,99.00
47.07,-125.90,93.00
47.07,-125.90,88.00
47.07,-125.91,88.00
47.08,-125.90,89.00
47.07,-125.91,83.00
47.08,-125.91,75.00
47.08,-125.92,83.00
47.08,-125.94,109.00
47.08,-125.94,67.00
46.97,-125.93,104.00
46.98,-125.94,90.00
46.97,-125.99,100.00
46.97,-125.98,111.00
46.97,-125.98,96.00
46.98,-125.97,89.00
46.98,-125.96,75.00
46.98,-125.95,81.00
46.98,-125.94,78.00
46.98,-125.94,82.00
46.99,-125.97,87.00
47.00,-125.96,89.00
46.99,-125.96,82.00
46.99,-125.94,83.00
46.99,-125.95,97.00
50.55,-131.62,91.40
48.75,-127.75,200.00
47.45,-127.27,57.80
46.30,-128.00,50.70
47.90,-127.20,161.00
47.15,-130.12,189.00
46.73,-131.58,22.80
41.07,-132.37,40.20
47.90,-127.65,304.00
47.25,-131.03,110.00
44.65,-125.14,94.00
44.65,-125.07,41.00
44.65,-125.06,42.00
44.65,-125.02,79.00
44.65,-124.97,77.00
47.23,-126.15,26.00
47.23,-126.15,27.00
47.24,-126.14,21.00
47.29,-126.08,104.00
47.29,-126.08,99.00
47.30,-126.09,101.00
47.30,-126.09,108.00
47.30,-126.09,77.00
47.29,-126.11,93.00
47.28,-126.12,96.00
47.28,-126.12,99.00
47.28,-126.13,104.00
47.27,-126.14,159.00
47.27,-126.14,142.00
47.27,-126.15,137.00
47.27,-126.15,141.00
47.27,-126.15,156.00
47.25,-126.17,138.00
47.44,-126.38,106.00
47.44,-126.38,108.00
47.44,-126.38,112.00
47.45,-126.36,109.00
47.45,-126.36,118.00
47.46,-126.33,102.00
47.46,-126.29,124.00
47.46,-126.29,108.00
47.46,-126.26,114.00
47.46,-126.22,122.00
