"lat","long","age","q_ihfc","q_ps","q_stein","ps_z","stein_z"
48.75,-127.75,2.9062791,200,277.51853842982,299.15861692417,3096.6734364374,3222.2451551418
47.8983,-127.2,4.359262,161,226.59700904196,244.26637660925,3230.7596013738,3362.0778700041
47.8983,-127.65,3.1907601,304,264.85829724021,285.51116740372,3125.1944595484,3251.9885078147
48.6833,-126.87,5.5437579,60.8,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.685,-126.87,5.5437579,63.7,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.6867,-126.87,5.5437579,59.6,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.6883,-126.87,5.5437579,53.9,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.6883,-126.88,5.5437579,68.9,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.6867,-126.86,5.5437579,53.3,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.6867,-126.87,5.5437579,57.6,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.685,-126.88,5.5437579,61.5,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.665,-126.85,5.752306,59.5,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.665,-126.85,5.752306,60.7,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.67,-126.85,5.752306,58,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.665,-126.85,5.752306,57.6,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.6683,-126.85,5.752306,57.4,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.6683,-126.85,5.752306,55.6,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.6667,-126.85,5.752306,56.5,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.6667,-126.85,5.752306,58,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.6667,-126.85,5.752306,55.8,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.6667,-126.85,5.752306,61.5,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.6667,-126.85,5.752306,57.4,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.6667,-126.85,5.752306,61.4,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.6683,-126.85,5.752306,37.5,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
48.67,-126.85,5.752306,60.4,197.26029061145,212.64206725528,3339.4387916936,3475.414739909
47.94,-128.9,0.43398958,84,718.15966207404,774.15963795561,2730.5725993044,2840.4542821318
47.9233,-128.85,0.66285837,136,581.09921225716,626.41161782617,2784.956400744,2897.1688179188
47.8983,-128.74,0.91232389,440,495.3203091145,533.94392838596,2834.3047659322,2948.6321130436
47.735,-127.91,2.9722376,345,274.42198222674,295.82060038595,3103.4062528678,3229.2665208479
47.7317,-127.88,2.9722376,129,274.42198222674,295.82060038595,3103.4062528678,3229.2665208479
47.87,-128.59,1.1679138,439,437.77934178494,471.91608584908,2878.245212131,2994.4557212223
47.845,-128.47,1.5189716,334,383.87146663343,413.80463332093,2931.3629805628,3049.849965444
47.8867,-128.66,0.91232389,900,495.3203091145,533.94392838596,2834.3047659322,2948.6321130436
47.7933,-128.21,2.1661963,267,321.44875950894,346.51438729382,3015.1301260361,3137.2071314377
48.6717,-126.86,5.5437579,62.2,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.69,-126.9,5.5437579,7.5,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.6783,-126.88,5.5437579,58,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.675,-126.88,5.5437579,58.7,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.675,-126.88,5.5437579,59.5,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
48.6733,-126.88,5.5437579,59.4,200.93636013052,216.60478585154,3324.081514627,3459.3992938253
