"lat","long","age","q_ihfc","q_ps","q_stein","ps_z","stein_z"
40.749,-127.4,0.14659698,225,1235.657607083,1332.0105489827,2634.0079477121,2739.7511454712
40.744,-127.54,6.29633E-007,299,596234.24729443,642726.83833168,2500.27772296,2600.2896253726
40.737,-127.55,0.22720698,1656,992.54412806456,1069.9397966997,2666.8318166598,2773.9817516595
40.737,-127.57,0.22720698,576,992.54412806456,1069.9397966997,2666.8318166598,2773.9817516595
40.75,-127.4,0.14659698,240,1235.657607083,1332.0105489827,2634.0079477121,2739.7511454712
40.751,-127.42,0.25562534,316,935.74756890847,1008.7144090938,2676.9579163248,2784.5418270244
40.748,-127.43,0.14659698,371,1235.657607083,1332.0105489827,2634.0079477121,2739.7511454712
40.745,-127.45,6.29633E-007,389,596234.24729443,642726.83833168,2500.27772296,2600.2896253726
40.742,-127.47,6.29633E-007,340,596234.24729443,642726.83833168,2500.27772296,2600.2896253726
40.74,-127.49,6.29633E-007,250,596234.24729443,642726.83833168,2500.27772296,2600.2896253726
40.742,-127.5,6.29633E-007,256,596234.24729443,642726.83833168,2500.27772296,2600.2896253726
40.741,-127.53,6.29633E-007,236,596234.24729443,642726.83833168,2500.27772296,2600.2896253726
40.74,-127.58,0.22720698,832,992.54412806456,1069.9397966997,2666.8318166598,2773.9817516595
40.746,-127.6,0.22720698,907,992.54412806456,1069.9397966997,2666.8318166598,2773.9817516595
40.747,-127.62,0.22720698,341,992.54412806456,1069.9397966997,2666.8318166598,2773.9817516595
40.757,-127.66,0.53983307,329,643.91851985331,694.12939006195,2757.156666402,2868.1776663907
40.753,-127.66,0.53983307,386,643.91851985331,694.12939006195,2757.156666402,2868.1776663907
40.757,-127.67,0.53983307,302,643.91851985331,694.12939006195,2757.156666402,2868.1776663907
40.756,-127.69,0.53983307,313,643.91851985331,694.12939006195,2757.156666402,2868.1776663907
40.98,-127.54,0.021391379,352,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
40.996,-127.54,0.021391379,302,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41,-127.53,0.021391379,472,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41.002,-127.52,0.021391379,192,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41.009,-127.51,0.021391379,1586,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41.021,-127.47,0.021391379,463,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41.002,-127.47,0.021391379,235,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41.005,-127.47,0.021391379,274,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41.008,-127.47,0.021391379,1804,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41.023,-127.47,0.021391379,280,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
40.94,-127.51,0.047450688,176,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.928,-127.52,0.047450688,299,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.914,-127.52,0.047450688,219,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.911,-127.49,0.047450688,511,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.911,-127.48,0.047450688,213,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.7267,-124.21,8.9923286,52.77,157.77005417864,170.07249846146,3549.5524062666,3694.533223678
40.5467,-124.18,9.0263643,77.51,157.47232158064,169.75154955212,3551.5367928656,3696.6026554169
40.8392,-127.5202,0.009965586,54,4739.2458484295,5108.7982853381,2534.9397235965,2636.4371403221
40.9067,-127.4517,0.047450688,217,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.905,-127.5,0.047450688,219,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9033,-127.5133,0.047450688,317,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9017,-127.5217,0.047450688,707,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9067,-127.54,0.047450688,160,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9067,-127.4533,0.047450688,201,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9067,-127.5533,0.27203998,137,907.07728576263,977.80850168575,2682.5510820291,2790.3746998304
40.9067,-127.56,0.27203998,409,907.07728576263,977.80850168575,2682.5510820291,2790.3746998304
40.9067,-127.4617,0.047450688,176,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9067,-127.4733,0.047450688,155,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9067,-127.4917,0.047450688,229,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
41.0017,-127.5133,0.021391379,2495,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41.0017,-127.51,0.021391379,1117,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41.0017,-127.5017,0.021391379,3176,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
40.9983,-127.55,0.27136731,851,908.20082939185,979.01965593899,2682.3252464005,2790.1391855319
40.9983,-127.55,0.27136731,670,908.20082939185,979.01965593899,2682.3252464005,2790.1391855319
40.9983,-127.5433,0.021391379,482,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41,-127.5233,0.021391379,410,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
41,-127.52,0.021391379,726,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
40.955,-127.48,0.021391379,416,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
40.955,-127.49,0.021391379,396,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
40.9567,-127.5033,0.021391379,207,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
40.9567,-127.5217,0.021391379,160,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
40.9583,-127.5317,0.021391379,219,3234.7540686993,3486.9906664871,2551.1902718053,2653.384140597
40.9583,-127.4217,0.23963241,693,966.46889510036,1041.8312938455,2671.3329221866,2778.6757617089
40.9567,-127.4233,0.23963241,444,966.46889510036,1041.8312938455,2671.3329221866,2778.6757617089
40.93,-127.5033,0.047450688,192,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.935,-127.5217,0.047450688,133,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9317,-127.5433,0.047450688,179,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9317,-127.55,0.27203998,204,907.07728576263,977.80850168575,2682.5510820291,2790.3746998304
40.9317,-127.5617,0.27203998,247,907.07728576263,977.80850168575,2682.5510820291,2790.3746998304
40.935,-127.4633,0.047450688,174,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9333,-127.4717,0.047450688,152,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
40.9317,-127.4917,0.047450688,160,2171.89788351,2341.2560854766,2576.2411259098,2679.5086027345
