"lat","long","age","q_ihfc","q_ps","q_stein","ps_z","stein_z"
45.0033,-125.303,9.0883245,60,156.93461503024,169.17191422816,3555.1396832884,3700.3599554294
45.005,-125.303,9.0883245,60,156.93461503024,169.17191422816,3555.1396832884,3700.3599554294
45.0033,-125.305,9.0883245,102,156.93461503024,169.17191422816,3555.1396832884,3700.3599554294
45,-125.321,9.0883245,84,156.93461503024,169.17191422816,3555.1396832884,3700.3599554294
47.0633,-125.89,7.6291208,100,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.0633,-125.893,7.6291208,99,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.065,-125.898,7.6291208,93,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.065,-125.903,7.6291208,88,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.0667,-125.91,7.6291208,88,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.075,-125.896,7.6291208,89,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.0733,-125.906,7.6291208,83,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.0783,-125.913,7.6291208,75,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.0783,-125.921,7.6291208,83,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.0767,-125.94,7.6291208,109,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
47.075,-125.938,7.6291208,67,171.28660961375,184.64303509093,3466.7302095207,3608.1615042145
46.9733,-125.931,7.6286254,104,171.29217116675,184.64903031745,3466.6988215054,3608.1287709985
46.975,-125.938,7.6286254,90,171.29217116675,184.64903031745,3466.6988215054,3608.1287709985
46.9683,-125.991,7.3567901,100,174.42811053823,188.02950100758,3449.3191177102,3590.0042227549
46.97,-125.983,7.3567901,111,174.42811053823,188.02950100758,3449.3191177102,3590.0042227549
46.9733,-125.975,7.3567901,96,174.42811053823,188.02950100758,3449.3191177102,3590.0042227549
46.975,-125.965,7.3567901,89,174.42811053823,188.02950100758,3449.3191177102,3590.0042227549
46.9767,-125.956,7.3567901,75,174.42811053823,188.02950100758,3449.3191177102,3590.0042227549
46.9783,-125.95,7.3567901,81,174.42811053823,188.02950100758,3449.3191177102,3590.0042227549
46.9767,-125.941,7.6286254,78,171.29217116675,184.64903031745,3466.6988215054,3608.1287709985
46.9783,-125.941,7.6286254,82,171.29217116675,184.64903031745,3466.6988215054,3608.1287709985
46.9883,-125.971,7.3567901,87,174.42811053823,188.02950100758,3449.3191177102,3590.0042227549
46.995,-125.963,7.3567901,89,174.42811053823,188.02950100758,3449.3191177102,3590.0042227549
46.9933,-125.956,7.3567901,82,174.42811053823,188.02950100758,3449.3191177102,3590.0042227549
46.9933,-125.941,7.6286254,83,171.29217116675,184.64903031745,3466.6988215054,3608.1287709985
46.9933,-125.946,7.6286254,97,171.29217116675,184.64903031745,3466.6988215054,3608.1287709985
47.45,-127.266,4.3656092,57.8,226.43222337014,244.08874143595,3231.2914104514,3362.6324708993
46.2983,-128,3.1420634,50.7,266.90283512569,287.71513233353,3120.4053243646,3246.9941239803
47.1483,-130.116,2.7302463,189,286.32531380475,308.65211871196,3078.3209936964,3203.1061791405
47.23,-126.145,7.0875106,26,177.7107903122,191.56815448473,3431.7832626207,3571.7168310187
47.2317,-126.145,7.0875106,27,177.7107903122,191.56815448473,3431.7832626207,3571.7168310187
47.2383,-126.143,7.0875106,21,177.7107903122,191.56815448473,3431.7832626207,3571.7168310187
47.29,-126.075,7.1277666,104,177.20824473679,191.02642188506,3434.4257105303,3574.4725266959
47.2933,-126.076,7.1277666,99,177.20824473679,191.02642188506,3434.4257105303,3574.4725266959
47.295,-126.085,7.1277666,101,177.20824473679,191.02642188506,3434.4257105303,3574.4725266959
47.2967,-126.086,7.1277666,108,177.20824473679,191.02642188506,3434.4257105303,3574.4725266959
47.295,-126.091,7.1277666,77,177.20824473679,191.02642188506,3434.4257105303,3574.4725266959
47.2917,-126.106,7.1277666,93,177.20824473679,191.02642188506,3434.4257105303,3574.4725266959
47.2833,-126.116,7.1277666,96,177.20824473679,191.02642188506,3434.4257105303,3574.4725266959
47.2783,-126.121,7.1277666,99,177.20824473679,191.02642188506,3434.4257105303,3574.4725266959
