"lat","long","age","q_ihfc","q_ps","q_stein","ps_z","stein_z"
49.62,-129.98,0.816961,366,523.43167087399,564.24733136367,2816.3506322105,2929.9085164481
50.55,-131.62,4.690174,91.4,218.45710876743,235.49175087863,3257.988334343,3390.4735486719
50.62,-127.5,4.636041,67.9,219.72882074897,236.86262721604,3253.6013684303,3385.8985699344
50.02,-126.78,6.218545,53,189.72137707299,204.51529143686,3372.795372639,3510.2008886092
50,-126.8,6.218545,42.1,189.72137707299,204.51529143686,3372.795372639,3510.2008886092
50,-126.8,6.218545,43.6,189.72137707299,204.51529143686,3372.795372639,3510.2008886092
50,-126.8,6.218545,39.2,189.72137707299,204.51529143686,3372.795372639,3510.2008886092
50.02,-126.78,6.218545,39.3,189.72137707299,204.51529143686,3372.795372639,3510.2008886092
50.14,-130.45,0.646358,441,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
49.17,-128.25,3.938601,200,238.39089578825,256.97991591781,3194.6068114408,3324.3756747883
49.12,-128.97,2.348197,181,308.74035169761,332.81501526031,3036.3339747769,3159.3197165531
50.57,-130.82,1.573337,19,377.1809768632,406.59243885806,2939.0145584146,3057.829468061
49.17,-128.25,3.938601,202,238.39089578825,256.97991591781,3194.6068114408,3324.3756747883
49.11,-128.96,2.348197,177,308.74035169761,332.81501526031,3036.3339747769,3159.3197165531
50.47,-130.27,0.065842,145,1843.7802208309,1987.5527735795,2589.808936081,2693.6578904845
50.57,-130.83,1.573337,16,377.1809768632,406.59243885806,2939.0145584146,3057.829468061
49.11,-128.96,2.348197,194,308.74035169761,332.81501526031,3036.3339747769,3159.3197165531
50.56,-130.84,1.573337,13,377.1809768632,406.59243885806,2939.0145584146,3057.829468061
50.13,-130.43,0.646358,739,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
49.11,-128.96,2.348197,200,308.74035169761,332.81501526031,3036.3339747769,3159.3197165531
50.56,-130.85,1.573337,15,377.1809768632,406.59243885806,2939.0145584146,3057.829468061
49.66,-130.09,0.594599,156,613.54803811541,661.39070758173,2769.8858601335,2881.4523969964
49.18,-128.25,3.938601,198,238.39089578825,256.97991591781,3194.6068114408,3324.3756747883
49.1,-128.95,2.605073,225,293.12354891399,315.98046017813,3064.9083487611,3189.1187065652
50.55,-130.87,2.221237,33,317.44113950368,342.19426488068,3021.633523175,3143.9892455968
49.1,-128.95,2.605073,188,293.12354891399,315.98046017813,3064.9083487611,3189.1187065652
50.55,-130.88,2.221237,20,317.44113950368,342.19426488068,3021.633523175,3143.9892455968
50.12,-130.42,0.646358,382,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
49.1,-128.94,2.605073,204,293.12354891399,315.98046017813,3064.9083487611,3189.1187065652
50.54,-130.89,2.221237,12,317.44113950368,342.19426488068,3021.633523175,3143.9892455968
50.12,-130.41,0.646358,258,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
49.66,-130.07,0.594599,534,613.54803811541,661.39070758173,2769.8858601335,2881.4523969964
49.09,-128.94,2.605073,187,293.12354891399,315.98046017813,3064.9083487611,3189.1187065652
49.65,-130.06,0.688307,285,570.25560921712,614.72246254924,2790.3749429617,2902.8195833743
49.09,-128.93,2.605073,175,293.12354891399,315.98046017813,3064.9083487611,3189.1187065652
49.09,-128.93,2.605073,187,293.12354891399,315.98046017813,3064.9083487611,3189.1187065652
50.14,-130.45,0.646358,441,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
50.13,-130.44,0.646358,723,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
50.13,-130.44,0.646358,386,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
50.13,-130.43,0.646358,739,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
50.12,-130.43,0.646358,704,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
50.12,-130.42,0.646358,382,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
50.12,-130.41,0.646358,258,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
50.11,-130.41,0.646358,218,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
50.11,-130.4,0.646358,269,588.4696845432,634.35681783927,2781.3873753387,2893.4468342818
49.68,-130.11,0.594599,96,613.54803811541,661.39070758173,2769.8858601335,2881.4523969964
49.67,-130.1,0.594599,49,613.54803811541,661.39070758173,2769.8858601335,2881.4523969964
49.67,-130.1,0.594599,152,613.54803811541,661.39070758173,2769.8858601335,2881.4523969964
49.66,-130.09,0.594599,156,613.54803811541,661.39070758173,2769.8858601335,2881.4523969964
49.66,-130.08,0.594599,106,613.54803811541,661.39070758173,2769.8858601335,2881.4523969964
49.66,-130.07,0.594599,534,613.54803811541,661.39070758173,2769.8858601335,2881.4523969964
49.65,-130.06,0.688307,285,570.25560921712,614.72246254924,2790.3749429617,2902.8195833743
49.65,-130.06,0.688307,327,570.25560921712,614.72246254924,2790.3749429617,2902.8195833743
49.65,-130.05,0.688307,342,570.25560921712,614.72246254924,2790.3749429617,2902.8195833743
49.64,-130.04,0.816961,393,523.43167087399,564.24733136367,2816.3506322105,2929.9085164481
49.64,-130.04,0.816961,274,523.43167087399,564.24733136367,2816.3506322105,2929.9085164481
