"lat","long","age","q_ihfc","q_ps","q_stein","ps_z","stein_z"
44.675,-125.285,9.1196241,79,156.66507472353,168.88135596197,3556.955037951,3702.253111006
44.66,-125.271,9.1196241,81,156.66507472353,168.88135596197,3556.955037951,3702.253111006
44.66,-125.266,9.1196241,93,156.66507472353,168.88135596197,3556.955037951,3702.253111006
44.6617,-125.26,9.1196241,77,156.66507472353,168.88135596197,3556.955037951,3702.253111006
44.66,-125.25,9.1196241,81,156.66507472353,168.88135596197,3556.955037951,3702.253111006
44.6617,-125.36,8.9653473,70,158.00728108572,170.32822362427,3547.9766429888,3692.8899276883
44.6633,-125.353,8.9653473,30,158.00728108572,170.32822362427,3547.9766429888,3692.8899276883
44.6617,-125.348,9.1196241,32,156.66507472353,168.88135596197,3556.955037951,3702.253111006
44.6583,-125.345,9.1196241,33,156.66507472353,168.88135596197,3556.955037951,3702.253111006
44.65,-125.348,9.1559649,42,156.35385713039,168.54587053728,3559.0588747799,3704.4471122704
45,-125.321,9.0883245,84,156.93461503024,169.17191422816,3555.1396832884,3700.3599554294
44.9933,-125.32,9.0883245,85,156.93461503024,169.17191422816,3555.1396832884,3700.3599554294
44.9867,-125.326,9.0883245,88,156.93461503024,169.17191422816,3555.1396832884,3700.3599554294
44.94,-125.373,8.987608,72,157.81148186156,170.11715655311,3549.2768843351,3694.2458936638
44.9367,-125.361,8.987608,124,157.81148186156,170.11715655311,3549.2768843351,3694.2458936638
44.9333,-125.353,8.987608,72,157.81148186156,170.11715655311,3549.2768843351,3694.2458936638
44.6483,-125.141,9.5422888,94,153.15612888215,165.09879285571,3581.1708366396,3727.5067296385
44.6467,-125.066,9.5422888,41,153.15612888215,165.09879285571,3581.1708366396,3727.5067296385
44.6483,-125.06,9.5422888,42,153.15612888215,165.09879285571,3581.1708366396,3727.5067296385
44.6517,-125.016,9.7679405,79,151.37674280585,163.18065549245,3593.8796603146,3740.7602171852
44.65,-124.966,9.8048306,77,151.09170138261,162.87338737831,3595.9433144556,3742.9123136466
44.95,-125.201,9.2965679,71,155.16699021189,167.26645523111,3567.1595793273,3712.8949898699
44.95,-125.216,9.2965679,61,155.16699021189,167.26645523111,3567.1595793273,3712.8949898699
44.95,-125.231,9.2965679,55,155.16699021189,167.26645523111,3567.1595793273,3712.8949898699
44.95,-125.25,9.0883245,28,156.93461503024,169.17191422816,3555.1396832884,3700.3599554294
44.95,-125.406,8.9141588,89,158.46030070257,170.81656837696,3544.9805993414,3689.7654821704
44.9483,-125.366,8.987608,95,157.81148186156,170.11715655311,3549.2768843351,3694.2458936638
44.9483,-125.365,8.987608,99,157.81148186156,170.11715655311,3549.2768843351,3694.2458936638
44.95,-125.371,8.9141588,102,158.46030070257,170.81656837696,3544.9805993414,3689.7654821704
44.9483,-125.37,8.987608,104,157.81148186156,170.11715655311,3549.2768843351,3694.2458936638
44.95,-125.383,8.9141588,113,158.46030070257,170.81656837696,3544.9805993414,3689.7654821704
44.9517,-125.4,8.9141588,110,158.46030070257,170.81656837696,3544.9805993414,3689.7654821704
44.95,-125.416,8.9141588,125,158.46030070257,170.81656837696,3544.9805993414,3689.7654821704
44.9333,-125.271,9.1318445,125,156.56021360724,168.76831808459,3557.6629667574,3702.9913796184
44.9333,-125.271,9.1318445,202,156.56021360724,168.76831808459,3557.6629667574,3702.9913796184
44.95,-125.465,8.6826057,122,160.55935671529,173.07930259704,3531.3191544086,3675.5185467404
44.9517,-125.516,8.6826057,152,160.55935671529,173.07930259704,3531.3191544086,3675.5185467404
44.9517,-125.518,8.6826057,139,160.55935671529,173.07930259704,3531.3191544086,3675.5185467404
44.9517,-125.583,8.4492979,165,162.76099934908,175.45262284084,3517.3686611794,3660.97017523
44.9483,-125.635,8.4941263,113,162.33093938016,174.98902806181,3520.0639547352,3663.7809813667
44.6483,-125.271,9.1559649,65,156.35385713039,168.54587053728,3559.0588747799,3704.4471122704
44.6483,-125.295,9.1559649,70,156.35385713039,168.54587053728,3559.0588747799,3704.4471122704
44.6483,-125.295,9.1559649,73,156.35385713039,168.54587053728,3559.0588747799,3704.4471122704
44.6483,-125.315,9.1559649,62,156.35385713039,168.54587053728,3559.0588747799,3704.4471122704
44.6483,-125.315,9.1559649,52,156.35385713039,168.54587053728,3559.0588747799,3704.4471122704
44.65,-125.341,9.1559649,105,156.35385713039,168.54587053728,3559.0588747799,3704.4471122704
44.6483,-125.366,8.9884195,32,157.80435786672,170.10947705014,3549.3242533888,3694.2952928198
44.6483,-125.398,8.9884195,101,157.80435786672,170.10947705014,3549.3242533888,3694.2952928198
44.65,-125.466,8.7853642,94,159.61759907127,172.06410946487,3537.4040266454,3681.8641992159
44.7967,-124.0633,9.8749847,32,150.55405016168,162.29381169824,3599.8570933308,3746.9938259021
