lat,long,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z
45,-125.3,9.0883245,60,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955
45.01,-125.3,9.0883245,60,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955
45,-125.31,9.0883245,102,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955
45,-125.32,9.0883245,84,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955
47.06,-125.89,7.6291208,100,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.06,-125.89,7.6291208,99,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.07,-125.9,7.6291208,93,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.07,-125.9,7.6291208,88,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.07,-125.91,7.6291208,88,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.08,-125.9,7.6291208,89,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.07,-125.91,7.6291208,83,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.08,-125.91,7.6291208,75,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.08,-125.92,7.6291208,83,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.08,-125.94,7.6291208,109,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
47.08,-125.94,7.6291208,67,171.2866096,184.6430351,-4.992900848,3466.73021,3608.161504
46.97,-125.93,7.6286254,104,171.2921712,184.6490303,-14.90505123,3466.698822,3608.128771
46.98,-125.94,7.6286254,90,171.2921712,184.6490303,-14.90505123,3466.698822,3608.128771
46.97,-125.99,7.3567901,100,174.4281105,188.029501,-35.51718903,3449.319118,3590.004223
46.97,-125.98,7.3567901,111,174.4281105,188.029501,-35.51718903,3449.319118,3590.004223
46.97,-125.98,7.3567901,96,174.4281105,188.029501,-35.51718903,3449.319118,3590.004223
46.98,-125.97,7.3567901,89,174.4281105,188.029501,-35.51718903,3449.319118,3590.004223
46.98,-125.96,7.3567901,75,174.4281105,188.029501,-35.51718903,3449.319118,3590.004223
46.98,-125.95,7.3567901,81,174.4281105,188.029501,-35.51718903,3449.319118,3590.004223
46.98,-125.94,7.6286254,78,171.2921712,184.6490303,-14.90505123,3466.698822,3608.128771
46.98,-125.94,7.6286254,82,171.2921712,184.6490303,-14.90505123,3466.698822,3608.128771
46.99,-125.97,7.3567901,87,174.4281105,188.029501,-35.51718903,3449.319118,3590.004223
