long,lat,z
-127.9919271,46.00807292,-2795.960938
-127.7252604,46.00807292,-2782.666992
-127.4585937,46.00807292,-2764.591797
-127.1919271,46.00807292,-2748.611328
-126.9252604,46.00807292,-2745.499756
-126.6585937,46.00807292,-2727.963867
-126.3919271,46.00807292,-2681.053467
-126.1252604,46.00807292,-2602.183105
-125.8585937,46.00807292,-2451.84082
-125.5919271,46.00807292,-1969.934937
-125.3252604,46.00807292,-1524.268555
-125.0585937,46.00807292,-1055.303955
-124.7919271,46.00807292,-438.5895386
-124.5252604,46.00807292,-150.5385132
-130.3919271,46.27473958,-2341.855469
-130.1252604,46.27473958,-2539.567383
-129.8585937,46.27473958,-2395.359375
-129.5919271,46.27473958,-2549.041016
-129.3252604,46.27473958,-2668.679199
-129.0585937,46.27473958,-2723.203125
-128.7919271,46.27473958,-2780.438721
-128.5252604,46.27473958,-2781.342285
-128.2585937,46.27473958,-2794.643799
-127.9919271,46.27473958,-2767.959473
-127.7252604,46.27473958,-2753.902588
-127.4585937,46.27473958,-2753.459961
-127.1919271,46.27473958,-2724.334961
-126.9252604,46.27473958,-2714.741943
-126.6585937,46.27473958,-2745.202881
-126.3919271,46.27473958,-2683.7771
-126.1252604,46.27473958,-2602.621582
-125.8585937,46.27473958,-2353.070801
-125.5919271,46.27473958,-2058.932373
-125.3252604,46.27473958,-1822.751831
-125.0585937,46.27473958,-1304.970947
-124.7919271,46.27473958,-723.6669312
-124.5252604,46.27473958,-123.7379913
-130.3919271,46.54140625,-2691.977051
-130.1252604,46.54140625,-2491.416992
-129.8585937,46.54140625,-2667.349854
-129.5919271,46.54140625,-2575.202393
-129.3252604,46.54140625,-2620.507324
-129.0585937,46.54140625,-2705.690674
-128.7919271,46.54140625,-2752.971924
-128.5252604,46.54140625,-2748.853516
-128.2585937,46.54140625,-2752.94165
-127.9919271,46.54140625,-2736.546143
-127.7252604,46.54140625,-2728.743896
-127.4585937,46.54140625,-2710.174805
-127.1919271,46.54140625,-2684.475586
-126.9252604,46.54140625,-2664.039551
-126.6585937,46.54140625,-2645.549072
-126.3919271,46.54140625,-2647.834961
-126.1252604,46.54140625,-2612.88501
-125.8585937,46.54140625,-2086.600098
-125.5919271,46.54140625,-1942.178467
-125.3252604,46.54140625,-1358.781494
-125.0585937,46.54140625,-782.7055664
-124.7919271,46.54140625,-318.2807007
-124.5252604,46.54140625,-90.26630402
-130.3919271,46.80807292,-2728.060059
-130.1252604,46.80807292,-2627.912109
-129.8585937,46.80807292,-2689.349365
-129.5919271,46.80807292,-2623.811035
-129.3252604,46.80807292,-2571.366211
-129.0585937,46.80807292,-2662.704102
-128.7919271,46.80807292,-2728.811523
-128.5252604,46.80807292,-2689.361816
-128.2585937,46.80807292,-2721.201904
-127.9919271,46.80807292,-2701.066406
-127.7252604,46.80807292,-2687.845459
-127.4585937,46.80807292,-2664.012695
-127.1919271,46.80807292,-2629.327148
-126.9252604,46.80807292,-2604.479004
-126.6585937,46.80807292,-2582.909668
-126.3919271,46.80807292,-2589.438721
-126.1252604,46.80807292,-2442.467529
-125.8585937,46.80807292,-1852.415894
-125.5919271,46.80807292,-1846.046997
-125.3252604,46.80807292,-1285.698364
-125.0585937,46.80807292,-430.7340393
-124.7919271,46.80807292,-117.3201904
-124.5252604,46.80807292,-60.91529083
-130.3919271,47.07473958,-2845.584229
-130.1252604,47.07473958,-2697.497559
-129.8585937,47.07473958,-2736.506348
-129.5919271,47.07473958,-2698.546631
-129.3252604,47.07473958,-2554.69751
-129.0585937,47.07473958,-2626.030273
-128.7919271,47.07473958,-2696.932129
-128.5252604,47.07473958,-2712.074707
-128.2585937,47.07473958,-2699.205078
-127.9919271,47.07473958,-2690.695068
-127.7252604,47.07473958,-2665.125488
-127.4585937,47.07473958,-2634.219238
-127.1919271,47.07473958,-2602.564697
-126.9252604,47.07473958,-2566.064453
-126.6585937,47.07473958,-2532.505859
-126.3919271,47.07473958,-2504.866455
-126.1252604,47.07473958,-2063.302002
-125.8585937,47.07473958,-1692.397095
-125.5919271,47.07473958,-1664.602173
-125.3252604,47.07473958,-1353.028076
-125.0585937,47.07473958,-457.4564819
-124.7919271,47.07473958,-104.0042725
-124.5252604,47.07473958,-42.20707321
-130.3919271,47.34140625,-2649.854004
-130.1252604,47.34140625,-2753.746582
-129.8585937,47.34140625,-2722.405762
-129.5919271,47.34140625,-2675.507324
-129.3252604,47.34140625,-2638.60083
-129.0585937,47.34140625,-2638.197021
-128.7919271,47.34140625,-2689.821289
-128.5252604,47.34140625,-2684.868408
-128.2585937,47.34140625,-2680.115479
-127.9919271,47.34140625,-2684.68042
-127.7252604,47.34140625,-2654.807373
-127.4585937,47.34140625,-2594.339355
