lat,long,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z
48.66,-126.89,5.5437579,66.6,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,75.7,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,65,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,65.9,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,64.2,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.87,5.5437579,67.9,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,58.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,59.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,61.8,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,61.9,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.65,-126.91,5.0980859,70,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.68,-126.86,5.5437579,61.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,62.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.88,5.5437579,64,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,62.8,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.87,5.5437579,64.2,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,66.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,66.6,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,59.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.86,5.5437579,59,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,56.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.65,-126.91,5.0980859,66.2,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.68,-126.86,5.5437579,59,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,60,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,60.6,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.85,5.752306,60.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.68,-126.85,5.752306,56.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.68,-126.85,5.752306,52,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.68,-126.85,5.752306,42.3,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.68,-126.84,5.752306,42.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.68,-126.84,5.752306,38.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.69,-126.84,5.752306,41.8,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.65,-126.9,5.0980859,67.1,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.69,-126.84,5.752306,56.3,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.69,-126.84,5.752306,36.5,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.69,-126.83,5.752306,54.2,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.69,-126.83,5.752306,70.9,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.69,-126.82,5.752306,69.9,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.69,-126.82,5.752306,71.3,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.69,-126.82,5.752306,76.2,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.7,-126.82,5.752306,77.7,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.7,-126.82,5.752306,78.2,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.66,-126.9,5.5437579,65.2,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.7,-126.81,5.752306,63.5,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.7,-126.81,5.752306,65.8,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.71,-126.79,5.752306,61.1,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.71,-126.79,5.752306,43.5,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.66,-126.9,5.5437579,71.3,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.66,-126.9,5.5437579,67.9,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.66,-126.9,5.5437579,68.8,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.66,-126.89,5.5437579,67.4,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.44,-128.47,1.1955065,338,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152
48.44,-128.47,1.1955065,493,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152
48.44,-128.46,1.1955065,295,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152
48.44,-128.45,1.3642263,293,405.0582202,436.6434675,-4.410299301,2908.800345,3026.320359
48.44,-128.45,1.3642263,293,405.0582202,436.6434675,-4.410299301,2908.800345,3026.320359
48.44,-128.44,1.3642263,292,405.0582202,436.6434675,-4.410299301,2908.800345,3026.320359
48.44,-128.43,1.3642263,303,405.0582202,436.6434675,-4.410299301,2908.800345,3026.320359
48.44,-128.42,1.3642263,330,405.0582202,436.6434675,-4.410299301,2908.800345,3026.320359
48.44,-128.42,1.3642263,326,405.0582202,436.6434675,-4.410299301,2908.800345,3026.320359
48.44,-128.41,1.3642263,310,405.0582202,436.6434675,-4.410299301,2908.800345,3026.320359
48.44,-128.4,1.3642263,368,405.0582202,436.6434675,-4.410299301,2908.800345,3026.320359
48.43,-128.4,1.3642263,369,405.0582202,436.6434675,-4.410299301,2908.800345,3026.320359
48.43,-128.39,1.3642263,389,405.0582202,436.6434675,1.557503343,2908.800345,3026.320359
48.46,-128.67,0.59159386,170,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257
48.46,-128.64,0.8665905,512,508.2222764,547.851953,-10.74924183,2825.81795,2939.781576
48.46,-128.62,0.8665905,458,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.46,-128.61,0.8665905,1360,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.46,-128.68,0.59159386,348,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257
48.46,-128.67,0.59159386,170,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257
48.46,-128.67,0.59159386,185,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257
48.46,-128.66,0.59159386,376,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257
48.46,-128.65,0.59159386,229,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257
48.46,-128.65,0.59159386,526,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257
48.46,-128.64,0.8665905,512,508.2222764,547.851953,-10.74924183,2825.81795,2939.781576
48.46,-128.63,0.8665905,209,508.2222764,547.851953,-10.74924183,2825.81795,2939.781576
48.46,-128.62,0.8665905,303,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.46,-128.62,0.8665905,458,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.46,-128.61,0.8665905,1360,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.46,-128.6,0.8665905,396,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.59,0.8665905,155,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.58,0.8665905,333,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.57,0.8665905,145,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.57,0.8665905,155,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.56,0.8665905,134,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.55,0.8665905,233,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.53,1.1157724,173,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968
48.45,-128.52,1.1157724,335,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968
48.45,-128.52,1.1157724,389,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968
48.45,-128.51,1.1157724,137,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968
48.45,-128.5,1.1157724,145,447.8915322,482.8167951,-4.410299301,2869.705449,2985.549968
48.45,-128.5,1.1157724,154,447.8915322,482.8167951,-4.410299301,2869.705449,2985.549968
48.44,-128.49,1.1955065,171,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152
48.44,-128.48,1.1955065,184,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152
48.44,-128.47,1.1955065,338,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152
48.44,-128.47,1.1955065,493,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152
48.46,-128.6,0.8665905,396,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.59,0.8665905,155,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.58,0.8665905,333,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.57,0.8665905,145,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.57,0.8665905,155,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.56,0.8665905,134,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.55,0.8665905,233,508.2222764,547.851953,8.065933228,2825.81795,2939.781576
48.45,-128.53,1.1157724,173,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968
48.45,-128.52,1.1157724,335,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968
48.45,-128.52,1.1157724,389,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968
48.45,-128.51,1.1157724,137,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968
48.45,-128.5,1.1157724,145,447.8915322,482.8167951,-4.410299301,2869.705449,2985.549968
48.45,-128.5,1.1157724,154,447.8915322,482.8167951,-4.410299301,2869.705449,2985.549968
48.44,-128.49,1.1955065,171,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152
48.44,-128.48,1.1955065,184,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152
48.36,-126.23,6.6210885,87,183.8636861,198.2008349,-8.39423275,3400.601655,3539.198869
48.35,-126.24,6.6210885,92,183.8636861,198.2008349,-8.39423275,3400.601655,3539.198869
48.35,-126.24,6.6210885,82,183.8636861,198.2008349,-8.39423275,3400.601655,3539.198869
48.35,-126.25,6.40137,83,186.9925025,201.5736273,-8.39423275,3385.532509,3523.483903
48.35,-126.25,6.40137,81,186.9925025,201.5736273,-8.39423275,3385.532509,3523.483903
48.34,-126.26,6.5365396,90,185.0489864,199.4785615,-8.39423275,3394.833002,3533.182988
48.32,-126.31,6.5365396,103,185.0489864,199.4785615,-18.40250206,3394.833002,3533.182988
48.32,-126.33,6.5365396,66,185.0489864,199.4785615,-18.40250206,3394.833002,3533.182988
48.31,-126.35,6.5365396,76,185.0489864,199.4785615,-18.40250206,3394.833002,3533.182988
48.31,-126.37,6.2660885,91,189.0002579,203.7379415,-18.40250206,3376.125471,3513.673706
48.3,-126.39,6.2660885,79,189.0002579,203.7379415,-23.99115753,3376.125471,3513.673706
48.3,-126.42,6.2660885,95,189.0002579,203.7379415,-40.74657059,3376.125471,3513.673706
48.29,-126.44,6.2660885,93,189.0002579,203.7379415,-40.74657059,3376.125471,3513.673706
48.29,-126.46,5.9780002,89,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149
48.28,-126.48,5.9780002,124,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149
48.27,-126.5,5.9780002,119,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149
48.27,-126.52,5.9780002,118,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149
48.26,-126.55,5.7164354,103,197.8782263,213.3081878,-44.26250076,3336.817385,3472.680988
48.26,-126.57,5.7164354,91,197.8782263,213.3081878,-44.26250076,3336.817385,3472.680988
48.16,-126.61,5.7203693,106,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214
48.15,-126.63,5.9089842,112,194.6275181,209.8039989,-45.47949982,3350.794079,3487.256682
48.14,-126.64,5.9089842,115,194.6275181,209.8039989,-45.47949982,3350.794079,3487.256682
48.14,-126.65,5.7152658,116,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.13,-126.66,5.7152658,114,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.13,-126.67,5.7152658,122,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.12,-126.68,5.7152658,127,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.12,-126.69,5.7152658,120,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.11,-126.7,5.7152658,118,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.11,-126.71,5.7152658,124,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.1,-126.72,5.7152658,123,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.09,-126.73,5.7152658,141,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.09,-126.74,5.7152658,142,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706
48.08,-126.75,5.4567189,136,202.5325674,218.3254606,-42.68918228,3317.586733,3452.626164
48.08,-126.76,5.4567189,121,202.5325674,218.3254606,-35.76579285,3317.586733,3452.626164
48.07,-126.77,5.4567189,78,202.5325674,218.3254606,-23.55309105,3317.586733,3452.626164
