lat,lon,q,age
48.75,-127.75,200.0,2.9062791
47.8983,-127.2,161.0,4.359262
47.8983,-127.65,304.0,3.1907601
48.6833,-126.87,60.8,5.5437579
48.685,-126.87,63.7,5.5437579
48.6867,-126.87,59.6,5.5437579
48.6883,-126.87,53.9,5.5437579
48.6883,-126.88,68.9,5.5437579
48.6867,-126.86,53.3,5.5437579
48.6867,-126.87,57.6,5.5437579
48.685,-126.88,61.5,5.5437579
48.665,-126.85,59.5,5.752306
48.665,-126.85,60.7,5.752306
48.67,-126.85,58.0,5.752306
48.665,-126.85,57.6,5.752306
48.6683,-126.85,57.4,5.752306
48.6683,-126.85,55.6,5.752306
48.6667,-126.85,56.5,5.752306
48.6667,-126.85,58.0,5.752306
48.6667,-126.85,55.8,5.752306
48.6667,-126.85,61.5,5.752306
48.6667,-126.85,57.4,5.752306
48.6667,-126.85,61.4,5.752306
48.6683,-126.85,37.5,5.752306
48.67,-126.85,60.4,5.752306
47.94,-128.9,84.0,0.43398958
47.9233,-128.85,136.0,0.66285837
47.8983,-128.74,440.0,0.91232389
47.735,-127.91,345.0,2.9722376
47.7317,-127.88,129.0,2.9722376
47.87,-128.59,439.0,1.1679138
47.845,-128.47,334.0,1.5189716
47.8867,-128.66,900.0,0.91232389
47.7933,-128.21,267.0,2.1661963
48.6717,-126.86,62.2,5.5437579
48.69,-126.9,7.5,5.5437579
48.6783,-126.88,58.0,5.5437579
48.675,-126.88,58.7,5.5437579
48.675,-126.88,59.5,5.5437579
48.6733,-126.88,59.4,5.5437579
48.6733,-126.88,59.6,5.5437579
48.6717,-126.88,59.3,5.5437579
48.67,-126.88,61.4,5.5437579
48.6683,-126.87,58.8,5.5437579
48.6667,-126.87,62.3,5.5437579
48.6717,-126.86,59.4,5.5437579
48.665,-126.87,66.0,5.5437579
48.6633,-126.87,63.8,5.5437579
48.6733,-126.86,62.0,5.5437579
48.675,-126.86,60.7,5.5437579
48.6767,-126.86,62.3,5.5437579
48.6783,-126.86,60.3,5.5437579
48.68,-126.87,60.4,5.5437579
48.6817,-126.87,60.4,5.5437579
48.6817,-126.87,57.7,5.5437579
48.65,-126.91,74.2,5.0980859
48.66,-126.89,66.6,5.5437579
48.6667,-126.88,75.7,5.5437579
48.6667,-126.88,65.0,5.5437579
48.6683,-126.88,65.9,5.5437579
48.67,-126.88,64.2,5.5437579
48.67,-126.87,67.9,5.5437579
48.6717,-126.87,58.4,5.5437579
48.6717,-126.87,59.4,5.5437579
48.6733,-126.87,61.8,5.5437579
48.675,-126.86,61.9,5.5437579
48.6517,-126.91,70.0,5.5437579
48.675,-126.86,61.4,5.5437579
48.6767,-126.86,62.3,5.5437579
48.6683,-126.88,64.0,5.5437579
48.6683,-126.88,62.8,5.5437579
48.67,-126.87,64.2,5.5437579
48.6717,-126.87,66.3,5.5437579
48.6717,-126.87,66.6,5.5437579
48.6733,-126.87,59.4,5.5437579
48.6733,-126.86,59.0,5.5437579
48.675,-126.86,56.3,5.5437579
48.6533,-126.91,66.2,5.5437579
48.6767,-126.86,59.0,5.5437579
48.6767,-126.86,60.0,5.5437579
48.6783,-126.86,60.6,5.5437579
48.6783,-126.85,60.4,5.752306
48.68,-126.85,56.4,5.752306
48.6817,-126.85,52.0,5.752306
48.6817,-126.85,42.3,5.752306
48.6833,-126.84,42.4,5.752306
48.6833,-126.84,38.4,5.752306
48.685,-126.84,41.8,5.752306
48.6533,-126.9,67.1,5.5437579
48.6867,-126.84,56.3,5.752306
48.6867,-126.84,36.5,5.752306
48.69,-126.83,54.2,5.752306
48.6917,-126.83,70.9,5.752306
48.6917,-126.82,69.9,5.752306
48.6933,-126.82,71.3,5.752306
48.6933,-126.82,76.2,5.752306
48.695,-126.82,77.7,5.752306
48.6967,-126.82,78.2,5.752306
48.655,-126.9,65.2,5.5437579
48.6967,-126.81,63.5,5.752306
48.6983,-126.81,65.8,5.752306
48.705,-126.79,61.1,5.752306
48.7067,-126.79,43.5,5.752306
48.6567,-126.9,71.3,5.5437579
48.6583,-126.9,67.9,5.5437579
48.6583,-126.9,68.8,5.5437579
48.66,-126.89,67.4,5.5437579
48.4417,-128.473,338.0,1.1955065
48.4417,-128.466,493.0,1.1955065
48.44,-128.46,295.0,1.1955065
48.44,-128.4517,293.0,1.1955065
48.44,-128.445,293.0,1.3642263
48.4383,-128.4383,292.0,1.3642263
48.4383,-128.4317,303.0,1.3642263
48.4367,-128.4233,330.0,1.3642263
48.4367,-128.4167,326.0,1.3642263
48.435,-128.41,310.0,1.3642263
48.435,-128.4033,368.0,1.3642263
48.4333,-128.395,369.0,1.3642263
48.4333,-128.3883,389.0,1.3642263
48.4633,-128.673,170.0,0.59159386
48.4583,-128.636,512.0,0.8665905
48.4567,-128.616,458.0,0.8665905
48.4567,-128.608,1360.0,0.8665905
48.4633,-128.68,348.0,0.59159386
48.4633,-128.6733,170.0,0.59159386
48.4617,-128.665,185.0,0.59159386
48.4617,-128.6583,376.0,0.59159386
48.46,-128.6517,229.0,0.59159386
48.46,-128.645,526.0,0.8665905
48.4583,-128.6367,512.0,0.8665905
48.4583,-128.63,209.0,0.8665905
48.4567,-128.6233,303.0,0.8665905
48.4567,-128.6167,458.0,0.8665905
48.4567,-128.6083,1360.0,0.8665905
48.455,-128.595,396.0,0.8665905
48.4533,-128.5883,155.0,0.8665905
48.4533,-128.58,333.0,0.8665905
48.4517,-128.5733,145.0,0.8665905
48.4517,-128.5667,155.0,0.8665905
48.45,-128.5583,134.0,0.8665905
48.45,-128.5517,233.0,0.8665905
48.4483,-128.53,173.0,1.1955065
48.4467,-128.5233,335.0,1.1955065
48.4467,-128.5167,389.0,1.1955065
48.445,-128.51,137.0,1.1955065
48.445,-128.5017,145.0,1.1955065
48.445,-128.495,154.0,1.1955065
48.4433,-128.4883,171.0,1.1955065
48.4433,-128.48,184.0,1.1955065
48.4417,-128.4733,338.0,1.1955065
48.4417,-128.4667,493.0,1.1955065
48.455,-128.595,396.0,0.8665905
48.4533,-128.588,155.0,0.8665905
48.4533,-128.58,333.0,0.8665905
48.4517,-128.573,145.0,0.8665905
48.4517,-128.566,155.0,0.8665905
48.45,-128.558,134.0,0.8665905
48.45,-128.551,233.0,0.8665905
48.4483,-128.53,173.0,1.1955065
48.4467,-128.523,335.0,1.1955065
48.4467,-128.516,389.0,1.1955065
48.445,-128.51,137.0,1.1955065
48.445,-128.501,145.0,1.1955065
48.445,-128.495,154.0,1.1955065
48.4433,-128.488,171.0,1.1955065
48.4433,-128.48,184.0,1.1955065
48.36,-126.225,87.0,6.6210885
48.3547,-126.235,92.0,6.6210885
48.352,-126.24,82.0,6.6210885
48.3493,-126.245,83.0,6.6882067
48.3467,-126.25,81.0,6.6882067
48.335,-126.263,90.0,6.5365396
48.324,-126.306,103.0,6.5365396
48.3186,-126.328,66.0,6.5365396
48.3131,-126.35,76.0,6.5365396
48.3076,-126.371,91.0,6.2660885
48.3021,-126.393,79.0,6.2660885
48.2967,-126.415,95.0,6.2660885
48.2912,-126.436,93.0,6.2660885
48.2857,-126.458,89.0,5.9780002
48.2802,-126.48,124.0,5.9780002
48.2748,-126.501,119.0,5.9780002
48.2693,-126.523,118.0,5.9780002
48.2638,-126.545,103.0,5.9780002
48.2583,-126.566,91.0,5.7164354
48.1583,-126.606,106.0,5.7203693
48.1477,-126.627,112.0,5.9089842
48.1425,-126.637,115.0,5.9089842
48.1372,-126.647,116.0,5.9089842
48.1319,-126.657,114.0,5.7152658
48.1266,-126.667,122.0,5.7152658
48.1213,-126.678,127.0,5.7152658
48.116,-126.688,120.0,5.7152658
48.1107,-126.698,118.0,5.7152658
48.1054,-126.708,124.0,5.7152658
48.1001,-126.718,123.0,5.7152658
48.0948,-126.729,141.0,5.7152658
48.0895,-126.739,142.0,5.7152658
48.0842,-126.749,136.0,5.7152658
48.0789,-126.759,121.0,5.4567189
48.0736,-126.769,78.0,5.4567189
48.0683,-126.78,135.0,5.4567189
48.56,-127.078,109.0,4.5077429
48.554,-127.088,108.0,4.5077429
48.551,-127.093,112.0,4.5077429
48.548,-127.098,118.0,4.3637662
48.545,-127.103,118.0,4.3637662
48.6783,-126.84,89.0,5.752306
48.6707,-126.855,96.0,5.5437579
48.6669,-126.863,88.0,5.5437579
48.6631,-126.87,92.0,5.5437579
48.6594,-126.878,97.0,5.5437579
48.6556,-126.886,96.0,5.5437579
48.6518,-126.893,107.0,5.5437579
48.648,-126.901,107.0,5.0980859
48.6442,-126.909,96.0,5.0980859
48.6404,-126.916,103.0,5.0980859
48.6366,-126.924,93.0,5.0980859
48.6328,-126.932,84.0,5.0980859
48.629,-126.939,84.0,5.0980859
48.6252,-126.947,109.0,5.0980859
48.6214,-126.955,102.0,4.8090472
48.6176,-126.963,110.0,4.8090472
48.6138,-126.97,109.0,4.8090472
48.61,-126.978,110.0,4.8090472
48.76,-126.673,82.0,6.336699
48.7448,-126.703,81.0,5.9347811
48.7371,-126.719,75.0,5.9347811
48.7295,-126.734,67.0,5.9347811
48.7219,-126.749,82.0,5.9347811
48.7143,-126.764,72.0,5.752306
48.7067,-126.78,92.0,5.752306
48.2633,-126.37,95.0,6.2660885
48.2579,-126.382,92.0,6.2660885
48.2551,-126.388,95.0,6.2660885
48.2524,-126.394,103.0,6.2660885
48.2497,-126.4,94.0,6.2521348
48.2469,-126.406,105.0,6.2521348
