lat,lon,q,age
49.62,-129.98,366.0,0.81696123
50.55,-131.62,91.4,4.6901741
50.62,-127.5,67.9,4.6360407
50.02,-126.78,53.0,6.2185445
50.0,-126.8,42.1,6.2185445
50.0,-126.8,43.6,6.2185445
50.0,-126.8,39.2,6.2185445
50.02,-126.78,39.3,6.2185445
50.14,-130.45,441.0,0.64635819
49.17,-128.25,200.0,3.9386008
49.12,-128.97,181.0,2.3481965
50.57,-130.82,19.0,1.5733372
49.17,-128.25,202.0,3.9386008
49.11,-128.96,177.0,2.3481965
50.47,-130.27,145.0,0.06584172
50.57,-130.83,16.0,1.5733372
49.11,-128.96,194.0,2.3481965
50.56,-130.84,13.0,1.5733372
50.13,-130.43,739.0,0.64635819
49.11,-128.96,200.0,2.3481965
50.56,-130.85,15.0,1.5733372
49.66,-130.09,156.0,0.59459901
49.18,-128.25,198.0,3.9386008
49.1,-128.95,225.0,2.6050727
50.55,-130.87,33.0,2.2212367
49.1,-128.95,188.0,2.6050727
50.55,-130.88,20.0,2.2212367
50.12,-130.42,382.0,0.64635819
49.1,-128.94,204.0,2.6050727
50.54,-130.89,12.0,2.2212367
50.12,-130.41,258.0,0.64635819
49.66,-130.07,534.0,0.59459901
49.09,-128.94,187.0,2.6050727
49.65,-130.06,285.0,0.68830746
49.09,-128.93,175.0,2.6050727
49.09,-128.93,187.0,2.6050727
50.14,-130.45,441.0,0.64635819
50.13,-130.44,723.0,0.64635819
50.13,-130.44,386.0,0.64635819
50.13,-130.43,739.0,0.64635819
50.12,-130.43,704.0,0.64635819
50.12,-130.42,382.0,0.64635819
50.12,-130.41,258.0,0.64635819
50.11,-130.41,218.0,0.64635819
50.11,-130.4,269.0,0.64635819
49.68,-130.11,96.0,0.59459901
49.67,-130.1,49.0,0.59459901
49.67,-130.1,152.0,0.59459901
49.66,-130.09,156.0,0.59459901
49.66,-130.08,106.0,0.59459901
49.66,-130.07,534.0,0.59459901
49.65,-130.06,285.0,0.68830746
49.65,-130.06,327.0,0.68830746
49.65,-130.05,342.0,0.68830746
49.64,-130.04,393.0,0.81696123
49.64,-130.04,274.0,0.81696123
49.64,-130.03,292.0,0.81696123
49.64,-130.03,344.0,0.81696123
49.63,-130.02,320.0,0.81696123
49.63,-130.01,268.0,0.81696123
49.62,-130.0,188.0,0.81696123
49.62,-130.0,81.0,0.81696123
49.62,-129.99,236.0,0.81696123
49.62,-129.98,366.0,0.81696123
49.61,-129.98,194.0,0.81696123
49.61,-129.97,100.0,0.81696123
49.61,-129.97,124.0,0.81696123
49.6,-129.96,272.0,0.81696123
49.6,-129.96,382.0,0.81696123
49.6,-129.95,390.0,1.0505846
49.17,-128.25,200.0,3.9386008
49.17,-128.25,202.0,3.9386008
49.18,-128.25,192.0,3.9386008
49.18,-128.25,194.0,3.9386008
49.18,-128.25,198.0,3.9386008
49.12,-128.97,181.0,2.3481965
49.11,-128.96,177.0,2.3481965
49.11,-128.96,194.0,2.3481965
49.11,-128.96,200.0,2.3481965
49.1,-128.95,225.0,2.6050727
49.1,-128.95,188.0,2.6050727
49.1,-128.94,204.0,2.6050727
49.09,-128.94,187.0,2.6050727
49.09,-128.93,175.0,2.6050727
49.09,-128.93,187.0,2.6050727
50.73,-131.12,25.0,2.265857
50.73,-131.1,23.0,2.265857
50.73,-131.09,41.0,2.265857
50.73,-131.08,65.0,2.265857
50.47,-130.28,243.0,0.06584172
50.47,-130.27,145.0,0.06584172
50.48,-130.26,153.0,0.06584172
50.57,-130.82,19.0,1.5733372
50.57,-130.83,16.0,1.5733372
50.56,-130.84,13.0,1.5733372
