lat,lon,q,age
40.749,-127.4,225.0,0.14659698
40.744,-127.54,299.0,6.29633e-07
40.737,-127.55,1656.0,0.22720698
40.737,-127.57,576.0,0.22720698
40.75,-127.4,240.0,0.14659698
40.751,-127.42,316.0,0.25562534
40.748,-127.43,371.0,0.14659698
40.745,-127.45,389.0,6.29633e-07
40.742,-127.47,340.0,6.29633e-07
40.74,-127.49,250.0,6.29633e-07
40.742,-127.5,256.0,6.29633e-07
40.741,-127.53,236.0,6.29633e-07
40.74,-127.58,832.0,0.22720698
40.746,-127.6,907.0,0.22720698
40.747,-127.62,341.0,0.22720698
40.757,-127.66,329.0,0.53983307
40.753,-127.66,386.0,0.53983307
40.757,-127.67,302.0,0.53983307
40.756,-127.69,313.0,0.53983307
40.98,-127.54,352.0,0.021391379
40.996,-127.54,302.0,0.021391379
41.0,-127.53,472.0,0.021391379
41.002,-127.52,192.0,0.021391379
41.009,-127.51,1586.0,0.021391379
41.021,-127.47,463.0,0.021391379
41.002,-127.47,235.0,0.021391379
41.005,-127.47,274.0,0.021391379
41.008,-127.47,1804.0,0.021391379
41.023,-127.47,280.0,0.021391379
40.94,-127.51,176.0,0.047450688
40.928,-127.52,299.0,0.047450688
40.914,-127.52,219.0,0.047450688
40.911,-127.49,511.0,0.047450688
40.911,-127.48,213.0,0.047450688
40.7267,-124.21,52.77,8.9923286
40.5467,-124.18,77.51,9.0263643
40.8392,-127.5202,54.0,0.009965586
40.9067,-127.4517,217.0,0.047450688
40.905,-127.5,219.0,0.047450688
40.9033,-127.5133,317.0,0.047450688
40.9017,-127.5217,707.0,0.047450688
40.9067,-127.54,160.0,0.047450688
40.9067,-127.4533,201.0,0.047450688
40.9067,-127.5533,137.0,0.27203998
40.9067,-127.56,409.0,0.27203998
40.9067,-127.4617,176.0,0.047450688
40.9067,-127.4733,155.0,0.047450688
40.9067,-127.4917,229.0,0.047450688
41.0017,-127.5133,2495.0,0.021391379
41.0017,-127.51,1117.0,0.021391379
41.0017,-127.5017,3176.0,0.021391379
40.9983,-127.55,851.0,0.27136731
40.9983,-127.55,670.0,0.27136731
40.9983,-127.5433,482.0,0.021391379
41.0,-127.5233,410.0,0.021391379
41.0,-127.52,726.0,0.021391379
40.955,-127.48,416.0,0.021391379
40.955,-127.49,396.0,0.021391379
40.9567,-127.5033,207.0,0.021391379
40.9567,-127.5217,160.0,0.021391379
40.9583,-127.5317,219.0,0.021391379
40.9583,-127.4217,693.0,0.23963241
40.9567,-127.4233,444.0,0.23963241
40.93,-127.5033,192.0,0.047450688
40.935,-127.5217,133.0,0.047450688
40.9317,-127.5433,179.0,0.047450688
40.9317,-127.55,204.0,0.27203998
40.9317,-127.5617,247.0,0.27203998
40.935,-127.4633,174.0,0.047450688
40.9333,-127.4717,152.0,0.047450688
40.9317,-127.4917,160.0,0.047450688
42.682,-126.7812,4511.0,0.10922085
42.681,-126.7817,6950.0,0.10922085
40.0217,-124.0667,58.0,15.872827
40.7267,-124.2133,34.0,8.9923286
40.7267,-124.213,34.0,8.9923286
40.135,-124.0,43.0,15.872827
40.5467,-124.1767,54.0,9.0263643
40.5467,-124.176,54.0,9.0263643
40.24,-124.1267,75.0,15.872827
40.24,-124.126,75.0,15.872827
40.74,-124.213,38.0,8.9923286
40.5633,-124.353,34.0,9.0263643
40.3233,-124.275,76.0,15.872827
40.0217,-124.066,58.0,15.872827
41.6817,-124.931,56.0,8.7112598
41.0,-126.433,167.0,3.5363894
40.08,-125.341,82.0,16.723663
40.9533,-127.515,180.0,0.021391379
40.9967,-127.491,2726.0,0.021391379
41.5,-126.5333,242.0,2.9937565
40.6,-127.4167,233.0,0.174211
40.5167,-126.5167,163.0,3.8898129
40.9333,-126.5167,193.0,3.269613
