lat,lon,q,age
45.0033,-125.303,60.0,9.0883245
45.005,-125.303,60.0,9.0883245
45.0033,-125.305,102.0,9.0883245
45.0,-125.321,84.0,9.0883245
47.0633,-125.89,100.0,7.6291208
47.0633,-125.893,99.0,7.6291208
47.065,-125.898,93.0,7.6291208
47.065,-125.903,88.0,7.6291208
47.0667,-125.91,88.0,7.6291208
47.075,-125.896,89.0,7.6291208
47.0733,-125.906,83.0,7.6291208
47.0783,-125.913,75.0,7.6291208
47.0783,-125.921,83.0,7.6291208
47.0767,-125.94,109.0,7.6291208
47.075,-125.938,67.0,7.6291208
46.9733,-125.931,104.0,7.6286254
46.975,-125.938,90.0,7.6286254
46.9683,-125.991,100.0,7.3567901
46.97,-125.983,111.0,7.3567901
46.9733,-125.975,96.0,7.3567901
46.975,-125.965,89.0,7.3567901
46.9767,-125.956,75.0,7.3567901
46.9783,-125.95,81.0,7.3567901
46.9767,-125.941,78.0,7.6286254
46.9783,-125.941,82.0,7.6286254
46.9883,-125.971,87.0,7.3567901
46.995,-125.963,89.0,7.3567901
46.9933,-125.956,82.0,7.3567901
46.9933,-125.941,83.0,7.6286254
46.9933,-125.946,97.0,7.6286254
47.45,-127.266,57.8,4.3656092
46.2983,-128.0,50.7,3.1420634
47.1483,-130.116,189.0,2.7302463
47.23,-126.145,26.0,7.0875106
47.2317,-126.145,27.0,7.0875106
47.2383,-126.143,21.0,7.0875106
47.29,-126.075,104.0,7.1277666
47.2933,-126.076,99.0,7.1277666
47.295,-126.085,101.0,7.1277666
47.2967,-126.086,108.0,7.1277666
47.295,-126.091,77.0,7.1277666
47.2917,-126.106,93.0,7.1277666
47.2833,-126.116,96.0,7.1277666
47.2783,-126.121,99.0,7.1277666
47.275,-126.131,104.0,7.1277666
47.2717,-126.141,159.0,7.1277666
47.2717,-126.141,142.0,7.1277666
47.27,-126.145,137.0,7.1277666
47.2667,-126.15,141.0,6.8401093
47.2667,-126.148,156.0,7.1277666
47.25,-126.165,138.0,6.8040028
47.4433,-126.381,106.0,6.4628758
47.4417,-126.38,108.0,6.4628758
47.44,-126.381,112.0,6.4628758
47.4483,-126.355,109.0,6.4628758
47.4483,-126.355,118.0,6.4628758
47.4567,-126.325,102.0,6.8071642
47.4583,-126.29,124.0,6.8071642
47.4583,-126.29,108.0,6.8071642
47.4583,-126.256,114.0,6.8071642
47.4567,-126.223,122.0,7.0861001
47.4567,-126.223,117.0,7.0861001
47.4583,-126.223,89.0,7.0861001
47.4567,-126.191,118.0,7.0861001
47.455,-126.18,139.0,7.0861001
47.455,-126.161,57.0,7.0861001
46.85,-124.1,38.0,9.7773581
47.2367,-124.19,35.0,9.8133631
46.1517,-124.41,39.5,9.546627
47.2383,-124.19,36.0,9.8133631
45.8666666,-130.5666666,210.0,2.5964611
45.8,-130.816666,280.0,3.3465738
46.2,-130.0166666,140.0,1.1109359
46.80178333,-125.5340333,85.0,8.4658957
46.80068333,-125.5470333,84.0,8.4658957
46.80013333,-125.5534167,90.0,8.262826
46.79958333,-125.5599667,94.0,8.262826
46.79903333,-125.5663667,102.0,8.262826
46.79846667,-125.5728833,117.0,8.262826
46.78235,-125.7586667,84.0,7.7502818
46.78803333,-125.69365,103.0,8.0188046
46.7869,-125.7066333,91.0,8.0188046
46.78123333,-125.7716667,86.0,7.7502818
46.78576667,-125.71965,89.0,8.0188046
46.7801,-125.7846167,114.0,7.7502818
46.78463333,-125.73265,86.0,8.0188046
46.78351667,-125.7456167,87.0,8.0188046
46.76773333,-125.9249,111.0,7.4773855
46.76658167,-125.9376695,113.0,7.4773855
46.7654,-125.9505667,110.0,7.2581306
46.76428333,-125.9634167,105.0,7.2581306
46.76311667,-125.9795,107.0,7.2581306
46.76308333,-125.9763,105.0,7.2581306
46.76311667,-125.9762833,102.0,7.2581306
46.75801667,-126.0350833,114.0,7.2581306
46.75721667,-126.0398333,108.0,7.2581306
46.75621667,-126.0536167,107.0,7.0691643
46.7401,-126.23025,312.0,6.8100848
46.74133333,-126.2167833,182.0,6.8100848
46.74256667,-126.2032,107.0,6.8100848
46.7438,-126.1896333,127.0,6.8100848
46.74498333,-126.1766833,116.0,6.8100848
46.7463,-126.1637667,116.0,6.8100848
46.74445,-126.1830167,119.0,6.8100848
46.74315,-126.1966833,135.0,6.8100848
46.74183333,-126.2100833,153.0,6.8100848
46.74183333,-126.2100833,160.0,6.8100848
46.7406,-126.2238833,255.0,6.8100848
46.73945,-126.2372833,424.0,6.8100848
46.73885,-126.24375,438.0,6.8100848
46.7382,-126.2507667,401.0,6.5386453
46.67743333,-126.1379667,109.0,7.0371647
46.67623333,-126.1506833,111.0,6.8100848
46.67506667,-126.1636833,122.0,6.8100848
46.67398333,-126.1767333,115.0,6.8100848
46.67273333,-126.1896667,124.0,6.8100848
46.6721,-126.1962,126.0,6.8100848
46.52,-129.58,2250.0,0.30251956
46.5248,-129.58,245.0,0.30251956
46.53,-129.58,3.0,0.30251956
46.529,-129.5838,16.0,0.30251956
46.5268,-129.5703,8.0,0.30251956
46.5283,-129.5703,18.0,0.30251956
46.31,-129.72,14.0,0.39045012
46.3145,-129.7132,14.0,0.39045012
46.31,-129.71,30.0,0.39045012
46.31,-129.72,22.0,0.39045012
45.3333,-129.3167,99.0,1.3617047
45.35,-129.1783,103.0,1.5062964
45.3583,-129.1867,167.0,1.5062964
45.3667,-129.1917,164.0,1.5062964
45.3683,-129.2,151.0,1.5062964
45.375,-129.1517,106.0,1.5062964
45.3767,-129.1883,155.0,1.5062964
45.3783,-129.185,159.0,1.5062964
45.38,-129.1933,185.0,1.5062964
46.1583,-129.2017,302.0,0.92084652
45.1,-128.85,181.3,2.4179773
45.00667,-125.15167,65.32,9.2965679
45.0037,-125.304,60.0,9.0883245
45.005,-125.304,60.0,9.0883245
45.0047,-125.305,102.0,9.0883245
45.0008,-125.323,84.0,9.0883245
47.0642,-125.89,100.0,7.6291208
