x,y,z
-127.0,49.0,-10.100000381469727
-127.0,50.0,-9.300000190734863
-127.0,51.0,-18.56999969482422
-127.0,52.0,-22.010000228881836
-127.0,53.0,-17.799999237060547
-127.0,54.0,-20.959999084472656
-126.0,38.0,-6.929999828338623
-126.0,39.0,-6.769999980926514
-126.0,40.0,-6.619999885559082
-126.0,41.0,-5.679999828338623
-126.0,42.0,-5.300000190734863
-126.0,43.0,-5.630000114440918
-126.0,44.0,-5.869999885559082
-126.0,45.0,-5.630000114440918
-126.0,46.0,-6.210000038146973
-126.0,47.0,-6.170000076293945
-126.0,48.0,-5.960000038146973
-126.0,49.0,-11.3100004196167
-126.0,50.0,-27.40999984741211
-126.0,51.0,-25.989999771118164
-126.0,52.0,-24.450000762939453
-126.0,53.0,-21.700000762939453
-126.0,54.0,-20.969999313354492
-125.0,38.0,-6.989999771118164
-125.0,39.0,-6.909999847412109
-125.0,40.0,-6.190000057220459
-125.0,41.0,-5.420000076293945
-125.0,42.0,-5.480000019073486
-125.0,43.0,-7.210000038146973
-125.0,44.0,-7.320000171661377
-125.0,45.0,-7.159999847412109
-125.0,46.0,-6.869999885559082
-125.0,47.0,-7.309999942779541
-125.0,48.0,-7.170000076293945
-125.0,49.0,-25.399999618530273
-125.0,50.0,-25.809999465942383
-125.0,51.0,-24.18000030517578
-125.0,52.0,-19.1299991607666
-125.0,53.0,-23.729999542236328
-125.0,54.0,-24.389999389648438
-124.0,38.0,-6.53000020980835
-124.0,39.0,-6.900000095367432
-124.0,40.0,-7.880000114440918
-124.0,41.0,-15.670000076293945
-124.0,42.0,-12.260000228881836
-124.0,43.0,-15.420000076293945
-124.0,44.0,-16.329999923706055
-124.0,45.0,-16.520000457763672
-124.0,46.0,-16.06999969482422
-124.0,47.0,-16.8799991607666
-124.0,48.0,-17.260000228881836
-124.0,49.0,-21.520000457763672
-124.0,50.0,-24.360000610351562
-124.0,51.0,-22.3799991607666
-124.0,52.0,-20.110000610351562
-124.0,53.0,-20.979999542236328
-124.0,54.0,-24.329999923706055
-123.0,38.0,-7.630000114440918
-123.0,39.0,-12.550000190734863
-123.0,40.0,-21.190000534057617
-123.0,41.0,-23.06999969482422
-123.0,42.0,-20.18000030517578
-123.0,43.0,-26.40999984741211
-123.0,44.0,-30.170000076293945
-123.0,45.0,-24.100000381469727
-123.0,46.0,-18.3799991607666
-123.0,47.0,-23.049999237060547
-123.0,48.0,-19.010000228881836
-123.0,49.0,-21.690000534057617
-123.0,50.0,-22.239999771118164
-123.0,51.0,-22.600000381469727
-123.0,52.0,-20.530000686645508
-123.0,53.0,-23.31999969482422
-123.0,54.0,-27.18000030517578
-122.0,38.0,-14.260000228881836
-122.0,39.0,-16.40999984741211
-122.0,40.0,-20.350000381469727
-122.0,41.0,-25.649999618530273
-122.0,42.0,-26.690000534057617
-122.0,43.0,-30.31999969482422
-122.0,44.0,-33.38999938964844
-122.0,45.0,-27.850000381469727
-122.0,46.0,-30.700000762939453
-122.0,47.0,-34.16999816894531
-122.0,48.0,-23.850000381469727
-122.0,49.0,-23.049999237060547
-122.0,50.0,-21.100000381469727
-122.0,51.0,-21.170000076293945
-122.0,52.0,-28.010000228881836
-122.0,53.0,-25.049999237060547
-122.0,54.0,-27.799999237060547
-121.0,38.0,-20.350000381469727
-121.0,39.0,-24.200000762939453
-121.0,40.0,-24.459999084472656
-121.0,41.0,-22.959999084472656
-121.0,42.0,-23.229999542236328
-121.0,43.0,-23.860000610351562
-121.0,44.0,-24.8700008392334
-121.0,45.0,-31.280000686645508
-121.0,46.0,-29.489999771118164
-121.0,47.0,-33.45000076293945
-121.0,48.0,-34.810001373291016
-121.0,49.0,-29.770000457763672
-121.0,50.0,-26.139999389648438
-121.0,51.0,-25.479999542236328
-121.0,52.0,-27.170000076293945
-121.0,53.0,-21.25
-121.0,54.0,-26.1299991607666
-120.0,38.0,-24.110000610351562
-120.0,39.0,-29.489999771118164
-120.0,40.0,-23.09000015258789
-120.0,41.0,-22.829999923706055
-120.0,42.0,-22.450000762939453
-120.0,43.0,-23.329999923706055
-120.0,44.0,-21.84000015258789
-120.0,45.0,-26.209999084472656
-120.0,46.0,-29.950000762939453
-120.0,47.0,-29.860000610351562
-120.0,48.0,-33.88999938964844
-120.0,49.0,-26.6200008392334
-120.0,50.0,-25.09000015258789
-120.0,51.0,-24.989999771118164
-120.0,52.0,-24.899999618530273
-120.0,53.0,-25.6299991607666
-120.0,54.0,-28.440000534057617
-119.0,38.0,-24.3799991607666
-119.0,39.0,-23.860000610351562
-119.0,40.0,-20.950000762939453
-119.0,41.0,-18.260000228881836
-119.0,42.0,-16.84000015258789
-119.0,43.0,-20.079999923706055
-119.0,44.0,-20.40999984741211
-119.0,45.0,-25.899999618530273
-119.0,46.0,-28.440000534057617
-119.0,47.0,-29.049999237060547
-119.0,48.0,-24.06999969482422
-119.0,49.0,-24.350000381469727
-119.0,50.0,-25.049999237060547
-119.0,51.0,-26.329999923706055
-119.0,52.0,-26.520000457763672
-119.0,53.0,-30.969999313354492
-119.0,54.0,-31.399999618530273
