x,y,z
-122.0,41.0,0.10999999940395355
-122.0,42.0,1.3200000524520874
-122.0,43.0,1.1799999475479126
-122.0,44.0,1.0800000429153442
-122.0,45.0,0.550000011920929
-122.0,46.0,-0.5899999737739563
-122.0,47.0,-0.75
-122.0,48.0,-1.6200000047683716
-122.0,49.0,-1.100000023841858
-122.0,50.0,0.46000000834465027
-122.0,51.0,1.409999966621399
-122.0,52.0,1.090000033378601
-122.0,53.0,0.9599999785423279
-122.0,54.0,0.8600000143051147
-121.0,38.0,-1.7400000095367432
-121.0,39.0,-2.9600000381469727
-121.0,40.0,-0.019999999552965164
-121.0,41.0,1.3799999952316284
-121.0,42.0,1.3700000047683716
-121.0,43.0,1.4700000286102295
-121.0,44.0,1.4199999570846558
-121.0,45.0,1.1100000143051147
-121.0,46.0,0.75
-121.0,47.0,1.2400000095367432
-121.0,48.0,0.8100000023841858
-121.0,49.0,1.0299999713897705
-121.0,50.0,0.8399999737739563
-121.0,51.0,1.2699999809265137
-121.0,52.0,1.1200000047683716
-121.0,53.0,1.1100000143051147
-121.0,54.0,1.2000000476837158
-120.0,38.0,-1.2799999713897705
-120.0,39.0,1.1100000143051147
-120.0,40.0,1.690000057220459
-120.0,41.0,1.5199999809265137
-120.0,42.0,1.5199999809265137
-120.0,43.0,1.6399999856948853
-120.0,44.0,1.3200000524520874
-120.0,45.0,1.149999976158142
-120.0,46.0,0.6000000238418579
-120.0,47.0,0.6600000262260437
-120.0,48.0,0.8799999952316284
-120.0,49.0,1.2000000476837158
-120.0,50.0,1.2300000190734863
-120.0,51.0,1.100000023841858
-120.0,52.0,1.1699999570846558
-120.0,53.0,1.4800000190734863
-120.0,54.0,1.5
-119.0,38.0,1.75
-119.0,39.0,2.2100000381469727
-119.0,40.0,1.399999976158142
-119.0,41.0,1.3600000143051147
-119.0,42.0,1.7699999809265137
-119.0,43.0,1.5800000429153442
-119.0,44.0,1.4500000476837158
-119.0,45.0,1.2799999713897705
-119.0,46.0,0.5400000214576721
-119.0,47.0,0.20999999344348907
-119.0,48.0,0.5400000214576721
-119.0,49.0,0.9300000071525574
-119.0,50.0,1.1799999475479126
-119.0,51.0,1.0
-119.0,52.0,1.2899999618530273
-119.0,53.0,1.6399999856948853
-119.0,54.0,1.7599999904632568
