lat,lon,q,age
52.0,-120.82,61.0,8.9942894
51.78,-120.37,113.0,8.9942894
51.82,-120.47,100.0,8.9942894
51.73,-120.15,92.0,8.9942894
51.75,-120.07,107.0,8.9942894
51.15,-119.82,56.0,8.9942894
51.15,-119.8,67.0,8.9942894
51.15,-119.82,83.0,8.9942894
53.37,-130.15,75.0,2.2681541
53.35,-130.13,75.0,2.2681541
53.35,-130.13,75.0,2.2681541
53.36,-130.13,117.0,2.2681541
53.37,-130.16,71.0,2.2681541
53.37,-130.16,64.0,2.2681541
53.37,-130.12,76.0,2.2681541
53.37,-130.16,51.0,2.2681541
53.37,-130.16,87.0,2.2681541
53.37,-130.16,88.0,2.2681541
53.37,-130.16,81.0,2.2681541
51.38,-120.07,70.0,8.9942894
51.38,-120.07,72.0,8.9942894
51.38,-120.07,71.0,8.9942894
53.53,-132.22,66.0,9.16572
53.53,-132.22,46.0,9.16572
53.53,-132.22,69.0,9.16572
53.53,-132.22,59.0,9.16572
53.53,-132.22,107.0,9.16572
53.53,-132.22,69.0,9.16572
53.53,-132.22,76.0,9.16572
53.53,-132.22,49.0,9.16572
53.53,-132.22,66.0,9.16572
52.14,-128.05,91.0,1.3816251
52.15,-128.1,74.0,1.3816251
54.74,-126.62,68.0,1.238132
54.74,-126.62,69.0,1.238132
54.74,-126.62,75.0,1.238132
54.74,-126.62,91.0,1.238132
54.74,-126.62,74.0,1.238132
54.2,-126.26,60.0,4.2815824
54.18,-126.27,66.0,4.2815824
54.17,-126.28,119.0,4.2815824
52.3,-120.57,46.0,8.9942894
52.3,-120.57,61.0,8.9942894
54.23,-126.23,83.0,4.2815824
54.23,-126.24,79.0,4.2815824
52.72,-131.72,60.0,5.7069907
52.72,-131.71,48.0,5.7069907
48.89,-123.87,20.0,8.9942894
48.89,-123.87,19.0,8.9942894
48.89,-123.85,25.0,8.9942894
48.88,-123.82,29.0,8.9942894
52.92,-123.62,74.0,7.2214351
52.92,-123.63,71.0,7.2214351
52.9,-123.62,56.0,7.2214351
49.05,-123.91,30.0,8.9942894
49.05,-124.0,20.0,8.9942894
49.59,-119.68,61.0,9.2849312
51.73,-124.62,67.0,7.2214351
51.73,-124.63,91.1,7.2214351
51.45,-123.62,101.2,7.2806315
51.45,-123.62,107.7,7.2806315
50.62,-127.5,67.9,4.6360407
49.77,-125.3,39.4,7.2806315
54.02,-130.58,72.2,5.7069907
54.02,-130.58,132.8,5.7069907
54.02,-130.58,112.4,5.7069907
54.02,-130.58,78.1,5.7069907
54.02,-130.58,62.4,5.7069907
49.15,-124.65,47.9,8.1750021
49.15,-124.67,54.4,7.9011574
49.15,-124.67,48.3,7.9011574
49.33,-121.97,143.4,9.2849312
49.33,-121.97,86.7,9.2849312
49.33,-121.97,132.4,9.2849312
49.33,-121.97,99.7,9.2849312
49.33,-121.97,38.8,9.2849312
49.33,-121.97,103.3,9.2849312
49.33,-121.95,95.5,9.2849312
49.33,-121.97,90.6,9.2849312
49.3,-121.93,105.1,9.2849312
49.75,-124.53,41.5,7.3612161
49.7,-124.52,18.1,7.3612161
49.75,-124.53,36.2,7.3612161
49.75,-124.53,33.2,7.3612161
49.75,-124.53,32.8,7.3612161
49.75,-124.53,34.7,7.3612161
49.75,-124.53,32.6,7.3612161
49.75,-124.53,20.7,7.3612161
49.7,-124.53,26.8,7.3612161
49.7,-124.53,22.5,7.3612161
49.7,-124.53,8.0,7.3612161
49.7,-124.53,34.9,7.3612161
50.02,-126.78,53.0,6.2185445
50.0,-126.8,42.1,6.2185445
50.0,-126.8,43.6,6.2185445
50.0,-126.8,39.2,6.2185445
50.02,-126.78,39.3,6.2185445
47.51,-121.35,57.0,9.7773581
47.51,-121.35,57.0,9.7773581
47.68,-121.65,60.0,9.7773581
47.68,-121.65,60.0,9.7773581
47.49,-121.4,56.0,9.7773581
42.2,-121.83,67.0,8.7200031
48.46,-122.63,37.0,9.2849312
48.72,-119.59,75.0,9.57864
46.35,-122.11,69.0,9.543684
46.36,-122.07,68.0,9.543684
49.0,-119.49,70.0,9.57864
48.61,-120.38,76.0,9.57864
48.61,-120.39,73.0,9.57864
46.85,-124.1,38.0,9.7773581
47.24,-124.19,35.0,9.8133631
42.16,-120.34,742.0,8.7200031
42.19,-120.33,180.0,8.7200031
42.19,-120.34,140.0,8.7200031
42.2,-120.35,98.0,8.7200031
42.22,-120.35,2861.0,8.7200031
42.22,-120.34,309.0,8.7200031
42.17,-120.34,110.0,8.7200031
42.22,-120.36,991.0,8.7200031
42.22,-120.36,117.0,8.7200031
42.19,-120.34,150.0,8.7200031
42.19,-120.35,124.0,8.7200031
42.18,-120.35,124.0,8.7200031
42.18,-120.34,189.0,8.7200031
42.22,-120.36,2882.0,8.7200031
42.21,-120.36,158.0,8.7200031
44.27,-120.81,66.0,9.8749847
42.04,-120.3,571.0,18.00329
42.21,-120.36,1895.0,8.7200031
42.24,-120.36,840.0,8.7200031
42.23,-120.37,531.0,8.7200031
42.02,-120.3,90.0,18.00329
42.19,-120.38,76.0,8.7200031
45.43,-121.46,48.0,9.5483627
45.61,-122.0,71.0,9.5370016
45.34,-121.36,62.0,9.5414743
43.96,-123.11,50.0,9.5827484
45.12,-120.85,59.0,9.68153
44.6,-122.06,76.0,9.8749847
44.6,-122.06,110.0,9.8749847
45.44,-121.16,41.0,9.5483627
45.54,-122.58,47.0,9.5407829
45.66,-121.33,55.0,9.5560369
45.25,-121.12,90.0,9.5008411
42.41,-120.48,58.0,8.7200031
45.69,-121.35,33.0,9.5560369
45.18,-121.07,95.0,9.5008411
45.84,-119.67,112.0,9.544672
45.32,-122.87,47.0,9.5414743
45.63,-121.36,65.0,9.5370016
44.78,-121.03,69.0,9.8749847
45.43,-120.93,60.0,9.5483627
42.06,-122.65,52.0,8.7200031
45.9,-119.22,41.0,9.5405912
45.6,-121.14,46.0,9.5370016
45.36,-121.28,94.0,9.5483627
45.38,-122.59,33.0,9.5483627
45.6,-119.6,58.0,9.5370016
45.65,-121.47,41.0,9.5370016
45.7,-123.13,41.0,9.5560369
42.19,-122.64,31.0,8.7200031
45.7,-121.35,77.0,9.5560369
42.48,-123.4,33.0,8.1746902
45.61,-121.23,71.0,9.5370016
45.91,-119.44,100.0,9.5405912
45.18,-121.2,62.0,9.5008411
42.32,-122.81,46.0,8.7200031
45.6,-121.64,83.0,9.5370016
45.53,-122.43,48.0,9.5407829
42.53,-122.64,49.0,8.7200031
42.8,-123.85,29.0,8.0320463
