long,lat,FA,age,q_ihfc,q_ps,q_stein,ps_z,stein_z,bathy
-129.85000299699968,45.33333423999981,-1.5383338928222656,1.4981001732159402,126.52390417253648,386.53625254036393,416.67721138662,2928.3891586150994,3419.171007081215,-2550.686082289013
-129.85000299699968,45.45000090899981,-0.0194444358348846,1.698283721210273,136.62778530522513,363.04088364409506,391.34974280416174,2956.1137531891122,3652.7211731706516,-2547.200036288326
-129.85000299699968,45.56666757799981,5.727469444274902,1.8724517213354244,145.7769776301501,345.7445512396711,372.70469332658695,2978.931452155305,3879.7175387871775,-2450.2918750728363
-129.85000299699968,45.683334246999806,2.025423049926758,1.678781683165571,141.4276705194381,365.1434780306262,393.616291310024,2953.4873274831198,3628.682398002263,-2401.902959535617
-129.85000299699968,45.8000009159998,7.437213897705078,1.4851116449957182,137.0783634087261,388.22286229683033,418.4953380058005,2926.5280489158663,3405.028158307189,-2037.2875391538505
-129.85000299699968,45.9166675849998,15.329435348510742,1.2914416068258652,132.72905629801411,416.31616273268554,448.77927129103944,2897.7456433905572,3208.754819701955,-1893.681439889588
-129.73333632799967,44.050000880999846,-12.648426055908203,2.4906864575798178,50.15426917948959,299.77894665881837,323.15482624277513,3052.3668084285364,4864.284445939598,-2647.2019236169226
-129.73333632799967,44.16666754999984,0.3681023716926574,2.094239495631469,49.248120294052676,326.9245134724666,352.41712442847756,3006.5020614122463,4200.831258747904,-2621.487223042629
-129.73333632799967,44.28333421899984,-26.81733703613281,1.69779253368312,48.34197140861578,363.0933954365311,391.40634931155495,2956.0477884785564,3652.112312912004,-3147.598931088163
-129.73333632799967,44.40000088799984,19.329011917114254,1.3013455717347704,47.43582252317887,414.72893806427305,447.0682795164475,2899.2678706551646,3218.1276084318993,-2461.9856460821725
-129.73333632799967,44.51666755699984,4.154425621032715,1.027941379417191,47.61388406860199,466.63411314891346,503.020867323315,2854.8560538846787,2985.682170024113,-2537.4345997079017
-129.73333632799967,44.63333422599983,-13.304818153381348,0.9749234257384416,57.859499305172285,479.15431778744824,516.5173606547645,2845.58373754122,2946.9236254095563,-2987.8999267519907
-129.73333632799967,44.75000089499983,-8.59610652923584,0.9186820538795384,61.38934872996782,493.6032864961038,532.0930173994225,2835.467661034925,2908.0515013839195,-2725.1010062078894
-129.73333632799967,44.86666756399983,-8.08913516998291,0.8830844491597154,76.00711181040663,503.45370408090525,542.7115415436751,2828.904005785982,2884.6409226869173,-2643.5074803195403
-129.73333632799967,44.98333423299982,-7.410157203674316,0.8687848889949924,90.21713721659381,507.58003309818616,547.159629548059,2826.230208444722,2875.4973219213052,-2694.3057515832543
-129.73333632799967,45.10000090199982,-2.604438066482544,1.0689684369893124,100.32101834928181,457.59178373274955,493.27344368373554,2861.8682543843697,3017.0831345369716,-2633.5044767990353
-129.73333632799967,45.21666757099982,-3.94455623626709,1.2691519849836326,110.42489948196985,419.9560500946848,452.70298635215363,2894.298260407645,3187.922567760582,-2601.900267552257
-129.73333632799967,45.33333423999981,-8.780770301818848,1.4693355329779405,120.52878061465724,390.3014532518805,420.7360113632712,2924.256529460417,3388.0156215921224,-2714.3983409922484
-129.73333632799967,45.45000090899981,-6.760111808776856,1.669519080972273,130.63266174734588,366.15499705114627,394.70668560542276,2952.2345491214746,3617.362296031634,-2698.501283519943
-129.73333632799967,45.56666757799981,1.6291723251342771,1.6735423318744815,133.53807675112128,365.71460787624903,394.23195617935966,2952.7791245791086,3622.2715368501954,-2246.392588353382
-129.73333632799967,45.683334246999806,-4.700138092041016,1.479872293704628,129.18876964040928,388.90948870852054,419.2355055233546,2925.7750062871432,3399.358032071228,-2531.299778463618
-129.73333632799967,45.8000009159998,-10.676965713500977,1.2862022555347754,124.8394625296973,417.1632339529121,449.69239463088195,2896.9380005781886,3203.8254283821016,-2566.0915108501677
-129.73333632799967,45.9166675849998,-2.586660623550415,1.0911547882920487,109.68236051113085,452.91580650069,488.2328475151823,2865.604241722899,3034.575851784623,-2377.654280182156
-129.61666965899963,44.050000880999846,-7.910901069641113,2.6883016414221568,55.57498126201572,288.5503865060551,311.05069603094785,3073.86143891554,5237.842486074667,-3035.9970508799697
-129.61666965899963,44.16666754999984,-32.74772644042969,2.2918546794738086,54.66883237657881,312.512303929318,336.8810932208183,3029.8605460265385,4517.198223216488,-3129.7164595485615
-129.61666965899963,44.28333421899984,-21.064228057861328,1.89540771752546,53.762683491141914,343.6444519061965,370.4408344306721,2981.8583250260067,3911.288201714102,-2888.222303389393
-129.61666965899963,44.40000088799984,10.761656761169434,1.49896075557711,52.85653460570501,386.4252776405783,416.5575829909064,2928.5121848421536,3420.11242156751,-2503.7104665105926
-129.61666965899963,44.51666755699984,9.839794158935549,1.2448103501013117,53.20425387738101,424.042184985069,457.10774600997394,2890.498742491459,3165.586774817563,-2640.3979191042695
-129.61666965899963,44.63333422599983,-6.349218368530273,1.2004329868469124,74.60343653733335,431.8090085592114,465.48020361760183,2883.474954708579,3125.9793649072226,-2777.803724767421
-129.61666965899963,44.75000089499983,-8.924999237060547,1.132325307206957,72.25059682310973,444.60572648641306,479.2747719297959,2872.4377130915345,3067.9886194895853,-2757.702083311755
-129.61666965899963,44.86666756399983,-12.095911979675291,1.0619639907672331,68.19652392986325,459.09838343495215,494.89752359464677,2860.680729827622,3011.635143955488,-2699.214217629936
-129.61666965899963,44.98333423299982,-8.517860412597656,1.0224836942018376,80.72886569910362,467.8778262439401,504.3615615034724,2853.9127753270927,2981.5976102916525,-2729.9962731202118
-129.61666965899963,45.10000090199982,-6.294925689697266,1.0402037967513058,94.32589479140111,463.8755066189655,500.0471527786705,2856.966336090723,2994.9387376531786,-2712.001436319821
-129.61666965899963,45.21666757099982,-5.490874290466309,1.240387344745626,104.42977592408911,424.79754252497304,457.92200410674644,2889.804373668818,3161.574679226863,-2676.5974082563916
-129.61666965899963,45.33333423999981,-5.134280204772949,1.440570892739934,114.53365705677652,394.17887098741363,424.91577871705704,2920.083246941177,3357.4642414084788,-2642.50400367903
-129.61666965899963,45.45000090899981,-6.7024335861206055,1.6407544407342665,124.63753818946518,369.3506475777275,398.1515235507148,2948.3217806330044,3582.6074241980637,-2692.6014580156752
-129.61666965899963,45.56666757799981,-8.374359130859375,1.4746329424134899,121.29917587208949,389.5997712392764,419.97961425337394,2925.020629435387,3393.7079449206394,-2704.7995756480154
-129.61666965899963,45.683334246999806,-8.137147903442383,1.2809629042436368,116.94986876137747,418.0154968666614,450.6111144972216,2896.1287111152706,3198.916076147627,-2683.2952898087997
-129.61666965899963,45.8000009159998,-3.818450689315796,1.0853804488725785,97.59506097122906,454.118988488759,489.5298500920023,2864.6355783338904,3029.9885123601166,-2499.3052792475028
-129.61666965899963,45.9166675849998,-13.64630126953125,0.8895075184095989,75.96108303638648,501.6327094736472,540.7485511387243,2830.0979718283284,2888.796623237129,-2682.400287263964
-129.50000298999964,44.050000880999846,3.685204982757568,2.8859168252644016,60.99569334453923,278.4958666486264,300.2121543198122,3094.5795246179346,5639.908311655619,-2680.69582088154
-129.50000298999964,44.16666754999984,-37.232303619384766,2.4894698633160526,60.089544459102314,299.8521881157948,323.2337788529126,3052.2318881196707,4862.072973130978,-3380.26751696264
-129.50000298999964,44.28333421899984,-2.6117560863494877,2.0930229013677035,59.18339557366541,327.0195140353702,352.5195328555544,3006.3549204042,4198.971875962134,-2455.510447679296
-129.50000298999964,44.40000088799984,1.168243646621704,1.6965759394193536,58.27724668822851,363.22355706651797,391.546660562197,2955.8843631655627,3650.6050201490816,-2807.299230080217
-129.50000298999964,44.51666755699984,0.877265214920044,1.4616793207853267,58.794623686157294,391.32230914760214,421.83647059590794,2923.149756937426,3379.8248494361806,-2813.3959176805465
-129.50000298999964,44.63333422599983,-8.378052711486816,1.3976153252041432,69.96362141914155,400.19055258467824,431.3962335443333,2913.772736339053,3312.9649379946013,-2807.200287039965
-129.50000298999964,44.75000089499983,-6.128379821777344,1.360088505115081,90.69576723428446,405.67390623060794,437.30716296225137,2908.1799136123645,3275.1918707373543,-2693.1033703195185
-129.50000298999964,44.86666756399983,-7.555074691772461,1.2897271886753572,86.64169434103798,416.5927727623575,449.07745055636786,2897.4815475122477,3207.1396207410808,-2685.7126308782817
-129.50000298999964,44.98333423299982,-7.516819953918457,1.2193658722356417,82.58762144779197,428.44358153144907,461.8523504994606,2886.4871528898034,3142.70139258614,-2752.9004280000154
-129.50000298999964,45.10000090199982,-7.572392463684082,1.1618829392438723,85.45061958780632,438.91403831645397,473.13926267508987,2877.2673588549296,3092.7397670446826,-2711.702507999751
-129.50000298999964,45.21666757099982,-6.245412826538086,1.211622704507633,98.43465236621132,429.8104373325487,463.3257896913262,2885.258071040939,3135.8307959986128,-2723.898855360101
-129.50000298999964,45.33333423999981,-5.024229049682617,1.4118062525019413,108.53853349889872,398.1741929860835,429.2226441612589,2915.8680871760753,3327.516866530305,-2642.701004639879
-129.50000298999964,45.45000090899981,-4.9253997802734375,1.4693935911224483,113.40958210377563,390.29374245126485,420.72769929712734,2924.264911243553,3388.0778968555796,-2667.2994316800305
-129.50000298999964,45.56666757799981,-10.743717193603516,1.2754790399161864,107.14173936618621,418.9131523863863,451.5787665512956,2895.279878554086,3193.7990751619136,-2675.8016470398215
-129.50000298999964,45.683334246999806,-12.107461929321287,1.0796061094532068,85.50776143134367,455.3318105541108,490.8372444509472,2863.6643348034254,3025.4255133225715,-2714.500219279953
-129.50000298999964,45.8000009159998,12.883122444152832,0.9018644624787183,69.99433235308719,498.1842828607648,537.0312263722014,2832.3829066808985,2896.87622066894,-2011.1710440049744
-129.50000298999964,45.9166675849998,-3.261615037918091,0.8255974967340292,88.73555185322269,520.6866888391995,561.2883037121974,2818.018385238839,2848.7880977139257,-2673.801148159862
-129.38333632099963,44.050000880999846,2.395256757736206,3.0835320091066913,66.41640542706403,269.42409234773896,290.4329897700968,3114.5996022741715,6070.481922682726,-2301.009498174492
-129.38333632099963,44.16666754999984,-12.537353515625,2.6870850471583427,65.51025654162713,288.6157005941855,311.1211031193583,3073.731573365888,5235.455508491613,-2511.5348234990242
-129.38333632099963,44.28333421899984,8.52087688446045,2.2906380852099946,64.60410765619024,312.5952830366536,336.97054279461815,3029.7198933759464,4515.163335656296,-2431.9920768328248
-129.38333632099963,44.40000088799984,-2.0498206615448,1.8941911232616446,63.69795877075333,343.7547915533764,370.5597780386524,2981.703656410818,3909.605404176772,-2699.0141296617944
-129.38333632099963,44.51666755699984,-4.437877655029297,1.6785482914693943,64.38499349493493,365.16886261263267,393.64365530699234,2953.455803474827,3628.3963938801103,-2786.487083154054
-129.38333632099963,44.63333422599983,-3.143333196640014,1.5965798479366937,66.24992080496042,374.425430097763,403.6220226693484,2942.2454424550297,3530.4095319557077,-2768.0142884773536
-129.38333632099963,44.75000089499983,-9.171368598937988,1.5752400331498047,99.6205964645576,376.9530735574684,406.346764323586,2939.279983678805,3505.7041241437964,-2802.4998565920177
-129.38333632099963,44.86666756399983,-2.050766944885254,1.5174903865835367,105.08686475221715,384.05876827585996,414.00654019393556,2931.152609126378,3440.51363178131,-2689.502510879619
-129.38333632099963,44.98333423299982,1.481366753578186,1.4471290701438213,101.03279185897117,393.28467623600494,423.95185729182253,2921.0383724705125,3364.3766291641923,-2667.9891573456553
-129.38333632099963,45.10000090199982,-8.269964218139648,1.3767677537041014,96.97871896572494,403.2090917499815,434.6501495058861,2910.6751146937836,3291.8536483883945,-2763.5020159196492
-129.38333632099963,45.21666757099982,-9.041242599487305,1.3064064372643822,92.92464607247872,413.92485290951834,446.2014941688931,2900.043483342607,3222.944689453923,-2748.994174624884
-129.38333632099963,45.33333423999981,-3.266148328781128,1.3830416122639415,102.54340994101946,402.2935183707278,433.6631824103549,2911.609763613951,3298.1734969575796,-2680.988052353834
-129.38333632099963,45.45000090899981,-6.740702629089356,1.2697047004967652,95.05443982629262,419.86463455145866,452.6044424940328,2894.3841094806608,3188.434759659207,-2686.499295152018
-129.38333632099963,45.56666757799981,-13.115939140319824,1.1532994456855294,100.24624020187998,440.54433129902196,474.8966811041638,2875.8712307379715,3085.4863581677705,-2703.498422512198
-129.38333632099963,45.683334246999806,-11.844712257385254,1.07703247994084,118.98745970201549,455.875506398477,491.4233360963856,2863.230613787925,3023.3996214393433,-2682.995908704532
-129.38333632099963,45.8000009159998,-2.427204370498657,1.0007655141961507,137.728679202151,472.9274183031585,509.8049058833257,2850.1339393561107,2965.559039257564,-2702.9992735041305
-129.38333632099963,45.9166675849998,-5.546473503112793,0.9244985484514614,156.46989870228649,492.04808075741045,530.4165412964118,2836.527966423749,2911.9646116224335,-2686.9959075845336
-129.26666965199962,44.050000880999846,-7.768378257751465,3.2811471929489837,71.83711750958886,261.184741849925,281.5511589806094,3133.9878004632665,6529.563319155903,-2685.400378895619
-129.26666965199962,44.16666754999984,5.67926025390625,2.8847002310006356,70.93096862415196,278.5545869195578,300.2754534245734,3094.4541851964523,5637.34582929832,-2407.894207297042
-129.26666965199962,44.28333421899984,6.156523704528809,2.488253269052286,70.02481973871505,299.9254832816819,323.31278936002354,3052.096934839259,4859.862580796527,-2434.699531967886
-129.26666965199962,44.40000088799984,2.3148281574249268,2.091806307103936,69.11867085327816,327.1145974646998,352.62203061073717,3006.207736626212,4197.113573650529,-2479.3285377884154
-129.26666965199962,44.51666755699984,-5.291996002197266,1.8954172621534622,69.97536330371258,343.6435866712288,370.43990172722914,2981.8595382617214,3911.301408149304,-2783.5976571044584
-129.26666965199962,44.63333422599983,14.808097839355469,1.8134488186207616,71.84029061373806,351.3241526994577,378.7193756794921,2971.3252383238596,3800.337765481318,-2201.0906829451637
-129.26666965199962,44.75000089499983,-8.124022483825684,1.7724223715070835,94.98078134636467,355.36696027551363,383.0774294865869,2965.9632394402133,3746.64058800186,-2812.8996416160335
-129.26666965199962,44.86666756399983,-3.000141143798828,1.7452535844917163,123.53203516339634,358.1223202970712,386.0476443696757,2962.378161357384,3711.7571770761324,-2741.401000575942
-129.26666965199962,44.98333423299982,-0.6494722366333008,1.6748922680520009,119.47796227015037,365.5671981275234,394.0730518524653,2952.961701290926,3623.921399996837,-2640.9909704012075
-129.26666965199962,45.10000090199982,-6.298620223999023,1.604530951612281,115.42388937690413,373.4965627683858,402.62072500060606,2943.3452848204256,3539.6996447588613,-2779.102155583658
-129.26666965199962,45.21666757099982,-9.986771583557127,1.5341696351725616,111.3698164836579,381.965349935806,411.74988325563663,2933.515605611423,3459.0919113622112,-2804.304802511357
-129.26666965199962,45.33333423999981,-5.422812461853027,1.425015131141279,101.5167531464139,396.3245006217556,427.2287182326404,2917.8089917232596,3341.1938652532826,-2759.5996391040644
-129.26666965199962,45.45000090899981,-6.318815231323242,1.3481248606005125,149.9698902422947,407.4699633246794,439.2432713001639,2906.380727180267,3263.36583351574,-2742.7998502720525
-129.26666965199962,45.56666757799981,-6.456138610839844,1.2626426914391187,168.36864756152818,421.0371568586807,453.86839463836856,2893.285811721313,3181.907296679287,-2739.7956105926596
-129.26666965199962,45.683334246999806,-7.217313766479492,1.1771605222777248,186.7674048807616,436.05655007246986,470.05895591149846,2879.7396002249716,3105.7830167513457,-2707.0989209441586
-129.26666965199962,45.8000009159998,-9.959954261779783,1.0996665659135831,205.46302605121483,451.1595434086207,486.3396361983777,2867.027457180541,3041.382293008683,-2725.7000471680876
-129.26666965199962,45.9166675849998,-10.754799842834473,1.0233996001688936,224.2042455513503,467.66841243530433,504.1358182226424,2854.071251333244,2982.2815606934355,-2709.5986441441573
-129.1500029829996,44.050000880999846,1.4520820379257202,3.4787623767912743,77.25782959211368,253.65783228981383,273.4373231754182,3152.8004221482483,7017.152501075144,-2185.702171376161
-129.1500029829996,44.16666754999984,7.365849494934082,3.082315414842926,76.35168070667677,269.4772581376976,290.49030127181373,3114.4783465007195,6067.743935551087,-2417.2962716644756
-129.1500029829996,44.28333421899984,6.276589393615723,2.685868452894578,75.44553182123987,288.68105905441354,311.19155803987184,3073.6016784141984,5233.069611382825,-2489.728204171564
-129.1500029829996,44.40000088799984,17.61081314086914,2.289421490946228,74.53938293580296,312.6783282776138,337.06006365894797,3029.57920336897,4513.1295285703545,-2138.7588123102873
-129.1500029829996,44.51666755699984,-1.697243094444275,2.11228623283753,75.56573311249024,325.52494541263576,350.9084221722637,3008.679725881224,4228.539892243762,-2822.2911996652115
-129.1500029829996,44.63333422599983,12.921687126159668,2.030317789304829,77.43066042251571,332.0310119633832,357.9218126360162,2998.712270943719,4104.599468832192,-2334.688046817651
-129.1500029829996,44.75000089499983,-8.28115177154541,1.9696047098643625,90.34096622817174,337.10960128695643,363.3964154015185,2991.199121495941,4015.960090288756,-2819.899498832079
-129.1500029829996,44.86666756399983,-4.004435062408447,1.950047079452744,124.63775639178282,338.7958724709475,365.21417704733886,2988.754301498167,3987.9795184099944,-2848.1041570073558
-129.1500029829996,44.98333423299982,-3.720072507858277,1.9026554659601804,137.92313268132955,342.9893083433849,369.73460470185324,2982.778722170025,3921.335705084075,-2776.897565872323
-129.1500029829996,45.10000090199982,-8.559361457824707,1.8322941495204608,133.86905978808332,349.5127808799753,376.7667584189741,2973.7679108131497,3825.4151753839215,-2809.899430672046
-129.1500029829996,45.21666757099982,-6.525546073913574,1.7619328330807413,129.81498689483712,356.42321614347145,384.21604907706234,2964.582363044908,3733.1086675250936,-2727.111089966573
-129.1500029829996,45.33333423999981,-5.915492057800293,1.579643921607582,109.64422548991332,376.4272531803922,405.77994202174386,2939.8936012229874,3510.7753454612,-2765.39927843213
-129.1500029829996,45.45000090899981,-5.981330871582031,1.4623839066984778,122.52737957408951,391.2280269949457,421.7348365985941,2923.2517319167914,3380.5768420583063,-2781.7975591043564
-129.1500029829996,45.56666757799981,-7.3633317947387695,1.3892069330893007,150.07147697898358,401.39983344225203,432.69981056254454,2912.526180143078,3304.412004574334,-2774.3011375838823
-129.1500029829996,45.683334246999806,-6.354745864868164,1.3160299594801228,177.61557438387766,412.4086549089543,444.5670675125757,2901.5142214620982,3232.1562218009776,-2739.4001521919445
-129.1500029829996,45.8000009159998,-10.19212818145752,1.2428529858709458,205.1596717887717,424.37596479598426,457.4675529877549,2890.191607763661,3163.809493738239,-2720.599350608104
-129.1500029829996,45.9166675849998,-9.715993881225586,1.1696760122617682,232.70376919366578,437.4494423504264,471.56046182802385,2878.53046310973,3099.3718203861163,-2724.3001431839807
-129.0333363139996,44.050000880999846,14.618427276611328,3.6763775606335676,82.67854167463851,246.7462753290095,265.98682335336855,3171.0858746670297,7533.249468440457,-2129.283425009693
-129.0333363139996,44.16666754999984,15.68674087524414,3.279930598685219,81.77239278920159,261.23317677698554,281.60337072066915,3133.8702535526804,6526.649827249927,-2409.9947283205283
-129.0333363139996,44.28333421899984,10.486214637756348,2.8834836367368695,80.8662439037647,278.61334434929796,300.33879258567794,3094.3288193418407,5634.7844274151885,-2441.691207072855
-129.0333363139996,44.40000088799984,3.8626086711883545,2.4870366747885195,79.96009501832779,299.9988322221542,323.3918578349034,3051.9619485631174,4857.653268936245,-2504.601904576071
-129.0333363139996,44.51666755699984,-13.349584579467772,2.329155203521598,81.15610292126787,309.99982209530594,334.1726954512032,3034.1549517053977,4580.111846163483,-2833.301139007798
