long,lat,bathy,age,FA,q_ihfc,q_ps,q_stein,ps_z,stein_z
-132.99791666666667,38.00208333333333,-5025.0,33.939312,-21.238987616645023,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-132.16458333333333,38.00208333333333,-4836.0,33.939312,-20.351530397157084,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.33125,38.00208333333333,-4911.0,33.939312,-19.610474246187884,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-130.49791666666667,38.00208333333333,-4759.0,30.501097,-16.65094725135807,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.66458333333333,38.00208333333333,-4679.0,35.199921,-14.6304530514736,70.0,79.74249403636595,85.96057892556259,4576.533246182204,454847.570018278
-128.83125,38.00208333333333,-4630.0,34.774003133702124,-24.99719621868019,63.04827266497275,80.22935754756527,86.48540661983233,4563.932020168908,443969.4222890947
-127.99791666666668,38.00208333333333,-4614.0,33.84490641211736,-20.23517887560327,47.0740649498538,81.3231140112359,87.66445099205659,4536.173134948101,420699.35686641873
-127.16458333333333,38.00208333333333,-4494.0,31.35767768325448,-21.101402478607362,77.31421790390166,84.4867711842482,91.07480083627047,4459.927426258093,361505.9416357097
-126.33125,38.00208333333333,-4410.0,28.26353989574487,-23.336593193021052,69.96072742711573,88.99126529412806,95.93054213369558,4360.721268011076,294172.1059150021
-125.49791666666668,38.00208333333333,-4115.0,25.54307461227141,-18.36702450950293,70.6484891908148,93.61039396335634,100.90985685587431,4268.905492106135,240743.76113654347
-124.66458333333333,38.00208333333333,-3947.0,22.83818271730884,-37.796067249692506,73.56629697385489,98.99879019385507,106.71842435870104,4172.625894475609,192977.6452876522
-123.83125,38.00208333333333,-3368.0,20.07671821754539,-80.96554635242614,78.99356217479031,105.58793519188524,113.82137148243714,4068.24678595217,149722.23425115243
-122.99791666666668,38.00208333333333,-26.0,17.82074915330292,5.96907000871146,79.95860210237102,112.07214403766127,120.81119984174292,3977.5120206887004,118516.37164050556
-122.16458333333333,38.00208333333333,161.0,16.83238023770941,-3.883905646513493,73.9888214904671,115.31555469648622,124.30752211376496,3935.9549363122096,106015.09393039304
-121.33125,38.00208333333333,6.0,16.226518387600073,-30.452672732982855,37.275234261280914,117.44863828022675,126.60693727466186,3909.8753499799222,98704.46312884
-132.49791666666667,38.00625,-4895.0,33.939312,-22.324853519105666,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.66458333333333,38.00625,-4819.0,33.939312,-18.388148493931375,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-130.83125,38.00625,-4894.0,30.501097,-21.402798505403204,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.99791666666667,38.00625,-4631.0,30.501097,-11.48599697067188,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.16458333333333,38.00625,-4832.0,35.199921,-25.2537547235929,70.0,79.74249403636595,85.96057892556259,4576.533246182204,454847.570018278
-128.33125,38.00625,-4504.0,34.4310120054198,-16.79276684755552,57.06188411509677,80.62797734041949,86.91510961042741,4553.728066386571,435305.5245168373
-127.49791666666668,38.00625,-4684.0,32.55474438054085,-23.66663743738321,36.100398936168276,82.91889657245046,89.38466797873326,4496.986776775513,389431.15431406006
-126.66458333333333,38.00625,-4445.0,29.449024732992534,-24.22421137155833,73.22769516728613,87.18167336116456,93.97984355000655,4399.343447034154,319144.4460694082
-125.83125,38.00625,-4234.0,26.617751594843853,-23.763905539124313,71.02733748466837,91.70119075519614,98.85177960304664,4305.733803850493,261204.21548715653
-124.99791666666668,38.00625,-3998.0,23.918722114836587,-21.12460922734247,70.23345893924923,96.73679003961801,104.28004009272544,4211.736971344453,211418.42267647208
-124.16458333333333,38.00625,-3705.0,21.135129404770645,-47.13987098456607,79.43863636363628,102.91014813671515,110.93477847724691,4109.053557866985,165643.19865908628
-123.33125,38.00625,-110.0,18.721286193580205,5.48023185912361,79.09133387508706,109.34346136976745,117.86974253380704,4014.3835573306965,130527.59321080692
-122.49791666666668,38.00625,51.0,17.031607305701762,12.908712772565416,84.50972222222092,114.63911941463485,123.5783404003475,3944.427878070922,108477.61130670627
-121.66458333333333,38.00625,0.0,16.422709321499163,-51.78660807412891,39.462403766125334,116.74499098381617,125.84842163391359,3918.3729734747653,101042.46423233625
-132.83125,38.01041666666666,-4991.0,33.939312,-24.878886206173444,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.99791666666667,38.01041666666666,-4902.0,33.939312,-18.602976101795498,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.16458333333333,38.01041666666666,-4920.0,30.501097,-22.026180216729998,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-130.33125,38.01041666666666,-4731.0,30.501097,-14.274341397145395,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.49791666666667,38.01041666666666,-4701.0,35.199921,-17.79584682162366,70.0,79.74249403636595,85.96057892556259,4576.533246182204,454847.570018278
-128.66458333333333,38.01041666666666,-4724.0,35.01711759872222,-31.196661892686794,67.04970328033967,79.95036699857124,86.18466120929438,4571.134207588555,450162.4615968007
-127.83125,38.01041666666666,-4613.0,33.54863686360203,-21.370851284275197,41.817583103403145,81.68140879259394,88.05068454549297,4527.241479397866,413411.52792313043
-126.99791666666668,38.01041666666666,-4471.0,30.69727248504281,-21.934016738119624,60.493650446774765,85.39073747699243,92.04925575886232,4439.179176718269,346547.7263776527
-126.16458333333333,38.01041666666666,-4371.0,27.70682077263577,-20.262985038739963,70.41139887410749,89.88087905885223,96.88952536039231,4342.304411504212,282798.7898243407
-125.33125,38.01041666666666,-4068.0,24.992855155030433,-18.091367237633285,70.64990446873985,94.6352040435721,102.01457860866932,4249.749912556428,230594.6252121209
-124.49791666666668,38.01041666666666,-3901.0,22.27749383877398,-39.14879628194147,76.06610641054954,100.23686906797185,108.0530449779916,4151.9664025790025,183744.65708386363
-123.66458333333333,38.01041666666666,-2229.0,19.632086119470767,-68.387941626378,79.94346557610946,106.77693090021589,115.10308157519523,4050.783850069109,143277.86397184563
