x,y,z
-128.0,42.0,-10.109999656677246
-128.0,43.0,-10.149999618530273
-128.0,44.0,-10.010000228881836
-128.0,45.0,-9.739999771118164
-128.0,46.0,-9.399999618530273
-128.0,47.0,-9.050000190734863
-128.0,48.0,-14.319999694824219
-128.0,49.0,-15.109999656677246
-128.0,50.0,-18.739999771118164
-128.0,51.0,-20.3799991607666
-128.0,52.0,-19.90999984741211
-128.0,53.0,-28.510000228881836
-128.0,54.0,-29.739999771118164
-127.0,38.0,-11.300000190734863
-127.0,39.0,-11.0
-127.0,40.0,-10.0
-127.0,41.0,-9.800000190734863
-127.0,42.0,-9.569999694824219
-127.0,43.0,-9.84000015258789
-127.0,44.0,-9.9399995803833
-127.0,45.0,-9.699999809265137
-127.0,46.0,-10.800000190734863
-127.0,47.0,-9.199999809265137
-127.0,48.0,-18.829999923706055
-127.0,49.0,-23.950000762939453
-127.0,50.0,-24.06999969482422
-127.0,51.0,-28.18000030517578
-127.0,52.0,-33.97999954223633
-127.0,53.0,-27.75
-127.0,54.0,-32.86000061035156
-126.0,38.0,-11.199999809265137
-126.0,39.0,-10.739999771118164
-126.0,40.0,-10.199999809265137
-126.0,41.0,-9.5
-126.0,42.0,-9.5
-126.0,43.0,-10.449999809265137
-126.0,44.0,-10.600000381469727
-126.0,45.0,-9.699999809265137
-126.0,46.0,-10.800000190734863
-126.0,47.0,-10.350000381469727
-126.0,48.0,-10.399999618530273
-126.0,49.0,-28.600000381469727
-126.0,50.0,-39.83000183105469
-126.0,51.0,-39.54999923706055
-126.0,52.0,-38.220001220703125
-126.0,53.0,-34.029998779296875
-126.0,54.0,-32.86000061035156
-125.0,38.0,-11.350000381469727
-125.0,39.0,-11.600000381469727
-125.0,40.0,-10.920000076293945
-125.0,41.0,-9.800000190734863
-125.0,42.0,-9.5600004196167
-125.0,43.0,-15.119999885559082
-125.0,44.0,-14.619999885559082
-125.0,45.0,-13.84000015258789
-125.0,46.0,-14.1899995803833
-125.0,47.0,-14.640000343322754
-125.0,48.0,-15.270000457763672
-125.0,49.0,-35.150001525878906
-125.0,50.0,-39.40999984741211
-125.0,51.0,-37.439998626708984
-125.0,52.0,-30.260000228881836
-125.0,53.0,-37.2400016784668
-125.0,54.0,-38.06999969482422
-124.0,38.0,-10.699999809265137
-124.0,39.0,-13.289999961853027
-124.0,40.0,-16.389999389648438
-124.0,41.0,-27.739999771118164
-124.0,42.0,-22.020000457763672
-124.0,43.0,-21.940000534057617
-124.0,44.0,-23.15999984741211
-124.0,45.0,-23.260000228881836
-124.0,46.0,-22.510000228881836
-124.0,47.0,-23.68000030517578
-124.0,48.0,-23.489999771118164
-124.0,49.0,-32.189998626708984
-124.0,50.0,-36.7599983215332
-124.0,51.0,-34.959999084472656
-124.0,52.0,-31.780000686645508
-124.0,53.0,-32.9900016784668
-124.0,54.0,-37.9900016784668
-123.0,38.0,-17.100000381469727
-123.0,39.0,-22.549999237060547
-123.0,40.0,-26.899999618530273
-123.0,41.0,-29.3799991607666
-123.0,42.0,-25.809999465942383
-123.0,43.0,-33.630001068115234
-123.0,44.0,-37.83000183105469
-123.0,45.0,-30.25
-123.0,46.0,-23.079999923706055
-123.0,47.0,-28.950000762939453
-123.0,48.0,-29.469999313354492
-123.0,49.0,-33.16999816894531
-123.0,50.0,-34.04999923706055
-123.0,51.0,-35.619998931884766
-123.0,52.0,-32.33000183105469
-123.0,53.0,-29.829999923706055
-123.0,54.0,-34.650001525878906
-122.0,38.0,-20.850000381469727
-122.0,39.0,-20.709999084472656
-122.0,40.0,-25.3700008392334
-122.0,41.0,-32.5
-122.0,42.0,-34.130001068115234
-122.0,43.0,-38.70000076293945
-122.0,44.0,-42.54999923706055
-122.0,45.0,-35.400001525878906
-122.0,46.0,-38.70000076293945
-122.0,47.0,-43.060001373291016
-122.0,48.0,-35.81999969482422
-122.0,49.0,-34.869998931884766
-122.0,50.0,-32.709999084472656
-122.0,51.0,-33.34000015258789
-122.0,52.0,-33.970001220703125
-122.0,53.0,-31.959999084472656
-122.0,54.0,-35.41999816894531
-121.0,38.0,-25.299999237060547
-121.0,39.0,-29.84000015258789
-121.0,40.0,-37.040000915527344
-121.0,41.0,-35.5099983215332
-121.0,42.0,-35.900001525878906
-121.0,43.0,-36.900001525878906
-121.0,44.0,-38.41999816894531
-121.0,45.0,-39.88999938964844
-121.0,46.0,-37.529998779296875
-121.0,47.0,-42.66999816894531
-121.0,48.0,-42.099998474121094
-121.0,49.0,-36.08000183105469
-121.0,50.0,-31.65999984741211
-121.0,51.0,-32.59000015258789
-121.0,52.0,-34.689998626708984
-121.0,53.0,-27.190000534057617
-121.0,54.0,-33.400001525878906
-120.0,38.0,-30.170000076293945
-120.0,39.0,-37.619998931884766
-120.0,40.0,-35.86000061035156
-120.0,41.0,-35.380001068115234
-120.0,42.0,-34.790000915527344
-120.0,43.0,-36.20000076293945
-120.0,44.0,-33.7599983215332
-120.0,45.0,-33.47999954223633
-120.0,46.0,-38.06999969482422
-120.0,47.0,-37.970001220703125
-120.0,48.0,-41.0099983215332
-120.0,49.0,-32.310001373291016
-120.0,50.0,-32.08000183105469
-120.0,51.0,-31.920000076293945
-120.0,52.0,-31.829999923706055
-120.0,53.0,-32.84000015258789
-120.0,54.0,-36.38999938964844
-119.0,38.0,-37.84000015258789
-119.0,39.0,-37.290000915527344
-119.0,40.0,-32.470001220703125
-119.0,41.0,-28.360000610351562
-119.0,42.0,-26.43000030517578
-119.0,43.0,-31.239999771118164
-119.0,44.0,-31.670000076293945
-119.0,45.0,-33.119998931884766
-119.0,46.0,-36.13999938964844
-119.0,47.0,-36.83000183105469
-119.0,48.0,-30.610000610351562
-119.0,49.0,-31.059999465942383
-119.0,50.0,-32.02000045776367
-119.0,51.0,-33.59000015258789
-119.0,52.0,-33.90999984741211
-119.0,53.0,-39.630001068115234
-119.0,54.0,-40.209999084472656
