lat,lon,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,z
48.46,-128.61,0.8665905,1360.0,508.2222764,547.851953,8.065933228,2825.81795,2939.781576,-2345.0
48.46,-128.68,0.59159386,348.0,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257,-2472.0
48.46,-128.66,0.59159386,376.0,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257,-2475.0
48.46,-128.65,0.59159386,229.0,615.1043949,663.0684244,-10.74924183,2769.202986,2880.740257,-2478.0
48.46,-128.63,0.8665905,209.0,508.2222764,547.851953,-10.74924183,2825.81795,2939.781576,-2346.0
48.46,-128.6,0.8665905,396.0,508.2222764,547.851953,8.065933228,2825.81795,2939.781576,-2331.0
48.45,-128.59,0.8665905,155.0,508.2222764,547.851953,8.065933228,2825.81795,2939.781576,-2406.0
48.45,-128.58,0.8665905,333.0,508.2222764,547.851953,8.065933228,2825.81795,2939.781576,-2426.0
48.45,-128.57,0.8665905,145.0,508.2222764,547.851953,8.065933228,2825.81795,2939.781576,-2373.0
48.45,-128.56,0.8665905,134.0,508.2222764,547.851953,8.065933228,2825.81795,2939.781576,-2390.0
48.45,-128.55,0.8665905,233.0,508.2222764,547.851953,8.065933228,2825.81795,2939.781576,-2437.0
48.45,-128.53,1.1157724,173.0,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968,-2432.0
48.45,-128.52,1.1157724,335.0,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968,-2439.0
48.45,-128.51,1.1157724,137.0,447.8915322,482.8167951,8.065933228,2869.705449,2985.549968,-2456.0
48.45,-128.5,1.1157724,145.0,447.8915322,482.8167951,-4.410299301,2869.705449,2985.549968,-2488.0
48.44,-128.49,1.1955065,171.0,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152,-2539.0
48.44,-128.48,1.1955065,184.0,432.697801,466.4383015,-4.410299301,2882.68727,2999.088152,-2556.0
48.36,-126.23,6.6210885,87.0,183.8636861,198.2008349,-8.39423275,3400.601655,3539.198869,-1010.0
48.35,-126.24,6.6210885,92.0,183.8636861,198.2008349,-8.39423275,3400.601655,3539.198869,-1034.0
48.35,-126.25,6.40137,83.0,186.9925025,201.5736273,-8.39423275,3385.532509,3523.483903,-1059.0
48.34,-126.26,6.5365396,90.0,185.0489864,199.4785615,-8.39423275,3394.833002,3533.182988,-1042.0
48.32,-126.31,6.5365396,103.0,185.0489864,199.4785615,-18.40250206,3394.833002,3533.182988,-1359.0
48.32,-126.33,6.5365396,66.0,185.0489864,199.4785615,-18.40250206,3394.833002,3533.182988,-1305.0
48.31,-126.35,6.5365396,76.0,185.0489864,199.4785615,-18.40250206,3394.833002,3533.182988,-1325.0
48.31,-126.37,6.2660885,91.0,189.0002579,203.7379415,-18.40250206,3376.125471,3513.673706,-1402.0
48.3,-126.39,6.2660885,79.0,189.0002579,203.7379415,-23.99115753,3376.125471,3513.673706,-1682.0
48.3,-126.42,6.2660885,95.0,189.0002579,203.7379415,-40.74657059,3376.125471,3513.673706,-1885.0
48.29,-126.44,6.2660885,93.0,189.0002579,203.7379415,-40.74657059,3376.125471,3513.673706,-2042.0
48.29,-126.46,5.9780002,89.0,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149,-2080.0
48.28,-126.48,5.9780002,124.0,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149,-2037.0
48.27,-126.5,5.9780002,119.0,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149,-2104.0
48.27,-126.52,5.9780002,118.0,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149,-2150.0
48.26,-126.55,5.7164354,103.0,197.8782263,213.3081878,-44.26250076,3336.817385,3472.680988,-2058.0
48.26,-126.57,5.7164354,91.0,197.8782263,213.3081878,-44.26250076,3336.817385,3472.680988,-2075.0
48.16,-126.61,5.7203693,106.0,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214,-2503.0
48.15,-126.63,5.9089842,112.0,194.6275181,209.8039989,-45.47949982,3350.794079,3487.256682,-2512.0
48.14,-126.64,5.9089842,115.0,194.6275181,209.8039989,-45.47949982,3350.794079,3487.256682,-2520.0
48.14,-126.65,5.7152658,116.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2525.0
48.13,-126.66,5.7152658,114.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2525.0
48.13,-126.67,5.7152658,122.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2526.0
48.12,-126.68,5.7152658,127.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2525.0
48.12,-126.69,5.7152658,120.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2526.0
48.11,-126.7,5.7152658,118.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2527.0
48.11,-126.71,5.7152658,124.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2530.0
48.1,-126.72,5.7152658,123.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2519.0
48.09,-126.73,5.7152658,141.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2495.0
48.09,-126.74,5.7152658,142.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2494.0
