lat,lon,t,bath
50.2,-123.53,8.1750021,551.0
50.18,-123.52,8.1750021,631.0
50.17,-123.52,8.1750021,304.0
50.45,-123.12,8.4487114,852.0
50.45,-123.17,8.1750021,1159.0
50.45,-123.2,8.1750021,963.0
51.97,-121.17,8.9942894,992.0
51.83,-121.15,8.9942894,957.0
52.0,-120.95,8.9942894,1234.0
52.0,-120.82,8.9942894,1234.0
51.78,-120.37,8.9942894,816.0
51.82,-120.47,8.9942894,1072.0
51.73,-120.15,8.9942894,1086.0
51.75,-120.07,8.9942894,1007.0
51.15,-119.82,8.9942894,1181.0
51.15,-119.8,8.9942894,1181.0
51.15,-119.82,8.9942894,1181.0
53.37,-130.15,2.2681541,45.0
53.35,-130.13,2.2681541,55.0
53.35,-130.13,2.2681541,55.0
53.36,-130.13,2.2681541,48.0
53.37,-130.16,2.2681541,50.0
53.37,-130.16,2.2681541,50.0
53.37,-130.12,2.2681541,56.0
53.37,-130.16,2.2681541,50.0
53.37,-130.16,2.2681541,50.0
53.37,-130.16,2.2681541,50.0
53.37,-130.16,2.2681541,50.0
51.38,-120.07,8.9942894,1048.0
51.38,-120.07,8.9942894,1048.0
51.38,-120.07,8.9942894,1048.0
53.53,-132.22,9.16572,161.0
53.53,-132.22,9.16572,161.0
53.53,-132.22,9.16572,161.0
53.53,-132.22,9.16572,161.0
53.53,-132.22,9.16572,161.0
53.53,-132.22,9.16572,161.0
53.53,-132.22,9.16572,161.0
53.53,-132.22,9.16572,161.0
53.53,-132.22,9.16572,161.0
52.14,-128.05,1.3816251,45.0
52.15,-128.1,1.3816251,51.0
54.74,-126.62,1.238132,832.0
54.74,-126.62,1.238132,832.0
54.74,-126.62,1.238132,832.0
54.74,-126.62,1.238132,832.0
54.74,-126.62,1.238132,832.0
54.2,-126.26,4.2815824,724.0
54.18,-126.27,4.2815824,731.0
54.17,-126.28,4.2815824,724.0
52.3,-120.57,8.9942894,1119.0
52.3,-120.57,8.9942894,1119.0
54.23,-126.23,4.2815824,743.0
54.23,-126.24,4.2815824,732.0
52.72,-131.72,5.7069907,-62.0
52.72,-131.71,5.7069907,-19.0
48.89,-123.87,8.9942894,804.0
48.89,-123.87,8.9942894,804.0
48.89,-123.85,8.9942894,943.0
48.88,-123.82,8.9942894,580.0
52.92,-123.62,7.2214351,1088.0
52.92,-123.63,7.2214351,1150.0
52.9,-123.62,7.2214351,1030.0
49.05,-123.91,8.9942894,99.0
49.05,-124.0,8.9942894,318.0
49.59,-119.68,9.2849312,1367.0
51.73,-124.62,7.2214351,1927.0
51.73,-124.63,7.2214351,1876.0
51.45,-123.62,7.2806315,1470.0
51.45,-123.62,7.2806315,1470.0
50.62,-127.5,4.6360407,121.0
49.77,-125.3,7.2806315,1308.0
54.02,-130.58,5.7069907,507.0
