x,y,z
-126.0,38.0,-5.550000190734863
-126.0,39.0,-5.489999771118164
-126.0,40.0,-5.460000038146973
-126.0,41.0,-4.440000057220459
-126.0,42.0,-4.21999979019165
-126.0,43.0,-4.389999866485596
-126.0,44.0,-4.340000152587891
-126.0,45.0,-4.309999942779541
-126.0,46.0,-4.71999979019165
-126.0,47.0,-4.820000171661377
-126.0,48.0,-4.53000020980835
-126.0,49.0,-5.710000038146973
-126.0,50.0,-14.220000267028809
-126.0,51.0,-12.819999694824219
-126.0,52.0,-9.899999618530273
-126.0,53.0,-8.680000305175781
-126.0,54.0,-8.390000343322754
-125.0,38.0,-5.579999923706055
-125.0,39.0,-5.389999866485596
-125.0,40.0,-4.659999847412109
-125.0,41.0,-4.010000228881836
-125.0,42.0,-4.159999847412109
-125.0,43.0,-4.650000095367432
-125.0,44.0,-4.960000038146973
-125.0,45.0,-5.0
-125.0,46.0,-4.5
-125.0,47.0,-4.949999809265137
-125.0,48.0,-4.559999942779541
-125.0,49.0,-15.029999732971191
-125.0,50.0,-12.619999885559082
-125.0,51.0,-10.170000076293945
-125.0,52.0,-7.369999885559082
-125.0,53.0,-9.449999809265137
-125.0,54.0,-9.920000076293945
-124.0,38.0,-5.179999828338623
-124.0,39.0,-4.829999923706055
-124.0,40.0,-5.130000114440918
-124.0,41.0,-8.430000305175781
-124.0,42.0,-6.409999847412109
-124.0,43.0,-8.5
-124.0,44.0,-9.0600004196167
-124.0,45.0,-9.359999656677246
-124.0,46.0,-9.229999542236328
-124.0,47.0,-9.649999618530273
-124.0,48.0,-10.640000343322754
-124.0,49.0,-11.15999984741211
-124.0,50.0,-12.319999694824219
-124.0,51.0,-9.079999923706055
-124.0,52.0,-7.769999980926514
-124.0,53.0,-8.279999732971191
-124.0,54.0,-9.880000114440918
-123.0,38.0,-4.570000171661377
-123.0,39.0,-6.559999942779541
-123.0,40.0,-11.109999656677246
-123.0,41.0,-11.949999809265137
-123.0,42.0,-10.270000457763672
-123.0,43.0,-13.699999809265137
-123.0,44.0,-16.68000030517578
-123.0,45.0,-13.270000457763672
-123.0,46.0,-10.109999656677246
-123.0,47.0,-12.640000343322754
-123.0,48.0,-7.960000038146973
-123.0,49.0,-9.5600004196167
-123.0,50.0,-9.75
-123.0,51.0,-8.84000015258789
-123.0,52.0,-8.0600004196167
-123.0,53.0,-11.859999656677246
-123.0,54.0,-14.029999732971191
-122.0,38.0,-7.289999961853027
-122.0,39.0,-8.84000015258789
-122.0,40.0,-11.510000228881836
-122.0,41.0,-13.579999923706055
-122.0,42.0,-13.569999694824219
-122.0,43.0,-15.569999694824219
-122.0,44.0,-17.25
-122.0,45.0,-14.550000190734863
-122.0,46.0,-16.600000381469727
-122.0,47.0,-18.520000457763672
-122.0,48.0,-11.199999809265137
-122.0,49.0,-10.550000190734863
-122.0,50.0,-8.819999694824219
-122.0,51.0,-8.319999694824219
-122.0,52.0,-14.34000015258789
-122.0,53.0,-12.869999885559082
-122.0,54.0,-14.380000114440918
-121.0,38.0,-11.640000343322754
-121.0,39.0,-14.25
-121.0,40.0,-12.239999771118164
-121.0,41.0,-10.789999961853027
-121.0,42.0,-10.930000305175781
-121.0,43.0,-11.199999809265137
-121.0,44.0,-11.729999542236328
-121.0,45.0,-16.110000610351562
-121.0,46.0,-15.319999694824219
-121.0,47.0,-17.200000762939453
-121.0,48.0,-18.06999969482422
-121.0,49.0,-15.300000190734863
-121.0,50.0,-13.460000038146973
-121.0,51.0,-12.949999809265137
-121.0,52.0,-13.920000076293945
-121.0,53.0,-10.779999732971191
-121.0,54.0,-13.329999923706055
-120.0,38.0,-13.420000076293945
-120.0,39.0,-15.15999984741211
-120.0,40.0,-10.699999809265137
-120.0,41.0,-10.649999618530273
-120.0,42.0,-10.460000038146973
-120.0,43.0,-10.84000015258789
-120.0,44.0,-10.260000228881836
-120.0,45.0,-13.399999618530273
-120.0,46.0,-15.640000343322754
-120.0,47.0,-15.5600004196167
-120.0,48.0,-17.549999237060547
-120.0,49.0,-13.539999961853027
-120.0,50.0,-12.760000228881836
-120.0,51.0,-12.770000457763672
-120.0,52.0,-12.6899995803833
-120.0,53.0,-12.930000305175781
-120.0,54.0,-14.420000076293945
-119.0,38.0,-11.319999694824219
-119.0,39.0,-10.829999923706055
-119.0,40.0,-9.779999732971191
-119.0,41.0,-8.449999809265137
-119.0,42.0,-7.539999961853027
-119.0,43.0,-9.25
-119.0,44.0,-9.479999542236328
-119.0,45.0,-13.170000076293945
-119.0,46.0,-14.869999885559082
-119.0,47.0,-15.350000381469727
-119.0,48.0,-12.539999961853027
-119.0,49.0,-12.510000228881836
-119.0,50.0,-12.770000457763672
-119.0,51.0,-13.529999732971191
-119.0,52.0,-13.5
-119.0,53.0,-15.699999809265137
-119.0,54.0,-15.869999885559082
