long,lat,FA,age,q_ihfc,q_ps,q_stein,ps_z,stein_z,bathy
-123.9000028779996,37.983334093,-73.18148803710938,20.305476402157684,78.41212309817956,104.99148232214414,113.17840897412412,4077.155940059294,153094.01575028262,-3484.0
-123.9000028779996,38.10000076199999,-82.34477996826172,20.051529864734476,76.91485256089167,105.65423316206123,113.89283917311809,4067.2627120013967,149353.3052194636,-3447.90346147138
-123.9000028779996,38.21666743099999,-85.57430267333984,19.851572597275634,76.96688611826666,106.1850071990293,114.46500140666481,4059.428627147221,146441.00112349028,-3480.096877008174
-123.9000028779996,38.33333409999999,-60.5383186340332,19.651615329816792,77.01891967564164,106.72386179021245,115.04587429225172,4051.554987070248,143557.88455094796,-2602.924187867146
-123.9000028779996,38.45000076899999,-62.2680778503418,19.452606263106897,74.30755150888936,107.26838962188312,115.63286280091494,4043.678809607295,140717.42000602497,-2038.612477166145
-123.9000028779996,38.56666743799998,-69.65892791748047,19.25490574351751,67.78260127859033,107.81767452499406,116.2249793234425,4035.81442680452,137924.25924498643,-2138.717358812508
-123.9000028779996,38.68333410699998,-42.48956298828125,19.122913397898163,65.41299517498675,108.18913035282164,116.6254001830004,4030.541371947366,136075.32314058227,-1331.8218771803936
-123.9000028779996,38.800000775999976,-7.171160697937012,19.00819393658709,63.97239853874576,108.5151142042271,116.9768032953036,4025.9435629248937,134478.67440678077,-585.1186943640594
-123.9000028779996,38.91666744499997,20.01668739318848,18.981416359593503,67.22927390023213,108.59162977295038,117.0592853227816,4024.8683563016857,134107.37096092902,-139.50207215971307
-123.9000028779996,39.03333411399997,11.222146034240724,18.954638782599908,70.48614926171851,108.6683074269505,117.14194207446909,4023.7923909996694,133736.59095327678,-123.00100671982375
-123.9000028779996,39.15000078299997,4.346375465393066,18.911630971958072,73.4395503297986,108.79180105656611,117.27506537370445,4022.06267744297,133142.1718971262,-125.80082886388523
-123.9000028779996,39.266667451999965,-0.4080379605293274,18.637429774377097,72.07007772506675,109.5891728376323,118.1346138584571,4010.9881360755926,129384.13283711583,-130.00175839979386
-123.9000028779996,39.38333412099996,10.487502098083496,18.363228576796118,70.7006051203349,110.40433823080525,119.01334344879666,3999.8318241248,125680.97977373647,-105.2038171354535
-123.9000028779996,39.50000078999996,5.078947067260742,18.089027379215143,69.33113251560304,111.23796902021829,119.91197831260514,3988.591903092938,122032.71270698818,-115.30239990368405
-123.9000028779996,39.61666745899996,3.935508966445923,17.814826181634146,67.96165991087112,112.09077304257764,120.83128148161096,3977.2664645385353,118439.33163687067,-124.30151958378958
-123.9000028779996,39.73333412799995,8.021722793579102,17.580823547873727,69.96073739485378,112.83427725395397,121.63276196219836,3967.5322431260347,115416.15516683705,-113.40072371186999
-123.9000028779996,39.85000079699995,7.918056488037109,17.528233297413582,62.4102184016809,113.00341975988607,121.81509370271567,3965.3356540169098,114742.22132292374,-8.798119023906061
-123.9000028779996,39.96666746599995,34.33292388916016,17.47564304695344,54.85969940850804,113.17332520494662,121.99824787410827,3963.13576719722,114070.30646515422,336.9232457891711
-123.9000028779996,40.08333413499994,-4.3721208572387695,17.19811569436397,46.45453649090535,114.0828142129172,122.97865615699862,3951.471381929243,110557.94195440583,349.2815233464754
-123.9000028779996,40.20000080399994,-23.30133819580078,16.59496518071498,58.90115331894065,116.1375035129584,125.19356407877937,3925.7921428586933,103118.39731243702,355.41930962851154
